Season,home_team,away_team,home_score,away_score,result,Cmp,Int 90s,Carries,ProgressivegDist,LP_Cmp,Goals,Att,SCA90,Recievd ,Tackles_Won,Int Min,PenaltiesAttemped,LP_Att,PKatt_y,PrgDist,DribbleTkld,SCA,DribbleSucc,Int Goals,MP_Att,GoalsandAssists,ProgressiveReceive,TotDist_y,GA,Int Goals Per 90,Tackles_mid_3rd,Int Starts,NonPenaltyGoals,TouchesLive,Touches,Sh/90,Total_Tackles,PenaltyGoals,TouchesDef 3rd,DribblesAtt,TouchesAtt 3rd,MP_Cmp,Int Non Penalty Goals,SoTA,Int Non Penalty Goals Per 90,SP_Cmp,original_Season,original_home_team,original_away_team
0,13,36,1.0,1.0,Draw,356.66666666666663,7.2,226.33333333333337,946.6666666666669,41.0,0.0,252.33333333333337,-2.636666666666666,325.33333333333337,-7.666666666666668,647.3333333333334,-1.3333333333333333,19.0,-1.3333333333333333,3183.666666666667,-3.0,-8.0,-4.0,-0.3333333333333333,319.0,-1.6666666666666663,-38.66666666666666,1165.3333333333337,,-0.0766666666666666,-7.0,7.333333333333333,0.6666666666666667,226.3333333333333,226.3333333333333,-2.22,-11.0,-1.0,208.0,-7.0,-109.66666666666666,362.6666666666667,-0.3333333333333333,,-0.0766666666666666,-42.666666666666686,2017-2018,Estonia,Sweden
0,11,36,0.0,1.0,Sweden,318.16666666666663,1.9875,212.33333333333337,216.66666666666677,351.0,4.4,304.08333333333337,-0.7504166666666663,239.08333333333337,49.83333333333333,180.45833333333331,-0.5333333333333332,791.0,-0.5333333333333332,15239.666666666668,15.25,27.66666666666667,12.625,-0.1333333333333333,222.0,4.533333333333333,76.70833333333334,194.83333333333348,,-0.0086666666666666,39.5,1.9583333333333333,4.666666666666667,419.83333333333326,419.83333333333326,-0.79,68.0,-0.6,757.0,27.875,229.24999999999991,232.16666666666669,-0.1333333333333333,,-0.0086666666666666,15.083333333333314,2017-2018,Denmark,Sweden
0,3,34,3.0,0.0,Austria,424.4285714285714,-4.36875,323.3571428571429,721.7857142857144,-265.0,-3.0,539.0238095238095,-0.738,374.7619047619048,30.333333333333336,-395.1875,-3.0,-654.0,-3.0,-14272.0,27.700000000000003,-11.799999999999995,2.1999999999999997,1.0,195.2142857142857,-1.0,57.69999999999999,1602.3571428571431,-18.0,0.32,19.0,-4.6875,-1.0,639.8809523809524,639.8809523809524,2.13,42.5,-2.0,-922.0,30.40000000000001,-48.0,169.66666666666663,1.0,-118.0,0.32,202.28571428571428,2017-2018,Austria,Slovenia
0,7,6,0.0,1.0,Bosnia,-971.0,-4.4,-621.0,-2273.0,-66.0,-13.0,-1152.0,-1.825,-676.0,-32.0,-398.0,1.0,-84.0,1.0,-5265.0,-17.5,-106.5,-34.0,-5.0,-449.0,-15.0,-237.0,-2789.0,,-0.62,-8.0,-6.0,-14.0,-1209.0,-1208.0,-1.9000000000000004,-42.0,1.0,-365.0,-52.5,-503.0,-392.0,-4.0,,-0.5,-519.0,2017-2018,Bulgaria,Bosnia
0,17,35,1.0,1.0,Draw,-412.63333333333367,-1.563333333333333,-388.1500000000001,-662.6333333333337,-285.0,-3.166666666666666,-380.3333333333337,-0.8296666666666668,-364.5833333333337,2.6499999999999986,-142.75,-0.3333333333333332,-673.0,-0.3333333333333332,-18513.0,3.8000000000000007,-16.86666666666666,-11.516666666666666,-1.3333333333333333,-6.516666666666765,-3.666666666666668,-3.1666666666666288,-1414.8999999999996,-26.0,-0.7000000000000001,-1.9750000000000012,-1.266666666666667,-3.166666666666666,-398.1166666666661,-398.71666666666647,0.1183333333333336,-4.375,0.0,-1056.0,-7.716666666666654,-38.383333333333326,-24.299999999999955,-1.3333333333333333,-133.0,-0.7000000000000001,-367.3333333333334,2017-2018,Germany,Spain
0,25,12,0.0,1.0,England,-1122.925,-2.926666666666667,-756.4000000000001,-1916.875,-382.0,-3.666666666666668,-1307.1333333333332,1.0870833333333332,-1073.775,-12.125,-261.6333333333333,-1.583333333333333,-1016.0,-1.583333333333333,-23699.0,-7.791666666666664,-2.041666666666657,-4.375,-1.25,-609.2916666666666,-0.0833333333333286,-70.375,-3555.633333333334,-40.5,0.0116666666666667,-14.875,-2.383333333333333,-2.75,-1444.3833333333337,-1444.3833333333337,-1.8758333333333328,-15.375,-0.9166666666666664,-1383.0,-12.500000000000014,-80.5,-553.2166666666667,-0.25,-109.5,0.1683333333333334,-422.23333333333335,2017-2018,Netherlands,England
0,2,13,0.0,0.0,Draw,-644.0,-2.0,-437.0,-1600.0,-69.0,0.0,-629.0,4.26,-460.0,1.0,-180.0,0.0,-81.0,0.0,-5951.0,16.0,36.0,10.0,2.0,-522.0,5.0,64.0,-2405.0,,0.62,0.0,-2.0,0.0,-665.0,-665.0,1.4,1.0,0.0,-545.0,26.0,305.0,-519.0,2.0,,0.62,-89.0,2017-2018,Armenia,Estonia
0,0,26,0.0,1.0,Norway,943.6666666666669,-5.758333333333333,700.6666666666667,2373.333333333333,-57.0,-6.333333333333333,1109.3333333333333,-0.3999999999999999,750.3333333333333,-37.5,-519.4166666666667,0.0,-283.5,0.0,-2743.0,-22.75,-9.75,-11.5,-0.3333333333333333,373.6666666666666,-6.0,-59.0,4168.666666666667,-2.5,-0.12,-35.0,-5.5,-6.333333333333333,1292.0,1292.0,0.2099999999999999,-53.0,0.0,-120.5,-35.25,-45.25,313.33333333333337,0.0,-11.0,0.0,548.6666666666666,2017-2018,Albania,Norway
0,28,25,0.0,3.0,Netherlands,73.375,0.8166666666666669,93.5,-56.375,76.75,-5.0,146.58333333333326,-0.7833333333333332,107.875,-6.0,73.63333333333333,0.25,180.5,0.25,4836.0,-18.333333333333336,-26.66666666666669,-9.75,1.25,-4.458333333333371,-10.25,38.75,268.8333333333337,6.5,0.175,-5.125,0.7833333333333332,-4.75,169.33333333333337,169.33333333333337,3.6125,-10.75,-0.25,320.5,-28.08333333333333,2.75,-26.333333333333314,0.75,38.5,0.0499999999999999,108.58333333333336,2017-2018,Portugal,Netherlands
0,12,20,1.0,1.0,Draw,830.4666666666666,-2.060833333333333,492.6500000000001,905.291666666667,235.0,12.38095238095238,958.175,-0.1260714285714286,761.4833333333333,12.166666666666664,137.96428571428572,1.6190476190476188,757.0,1.6190476190476188,15351.0,17.55357142857143,18.279761904761912,8.732142857142858,-0.1428571428571428,466.375,12.047619047619042,53.19642857142856,1784.8000000000002,44.0,-0.0680952380952381,14.305555555555555,-2.6083333333333334,11.0,1030.883333333334,1030.8416666666665,0.231904761904762,11.555555555555555,1.3809523809523807,756.0,25.90476190476192,135.10714285714278,429.55,-1.0,122.0,-0.2090476190476191,289.1083333333333,2017-2018,England,Italy
