Season,home_team,away_team,home_score,away_score,result,90s_difference,Age_difference,AssistPer90_difference,Assists_difference,Att_difference,AvgShotDistance_difference,Blocked_difference,CK_difference,CS_difference,CS%_difference,Carries_difference,CarriesPenArea_difference,Clearance_difference,Cmp_difference,Cmp%_difference,Completed_difference,Crs_difference,D_difference,Dead_difference,Def_difference,Def.1_difference,Dispossed_difference,Drib_Tackle_Lost_difference,Drib_Tackled_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,DribblesAtt_difference,Errors_to_shot_difference,FK_difference,Fld_difference,Fld.1_difference,GA_difference,GA90_difference,GCA_difference,GCA90_difference,Goals_difference,GoalsFromPenalties_difference,GoalsPer90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,GoalsandAssistPer90_difference,GoalsandAssists_difference,Int 90s_difference,Int Assists_difference,Int Assists Per 90_difference,Int Goals_difference,Int Goals + Assists _difference,Int Goals + Assits Per 90_difference,Int Goals Per 90_difference,Int Matches Played_difference,Int Min_difference,Int Non Penalty Goals_difference,Int Non Penalty Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Penaltes Attempted_difference,Int Penalty Goals_difference,Int Red Cards_difference,Int Starts_difference,Int Yellow Cards_difference,Interceptions_difference,L_difference,LP_Att_difference,LP_Cmp_difference,LP_Cmp%_difference,Live_difference,MP_difference,MP_Att_difference,MP_Cmp_difference,MP_Cmp%_difference,Min_difference,Miscontrolled_difference,NonPenaltyGoals_difference,NonPenaltyGoalsPer90_difference,Offside_pass_difference,PKA_difference,PKatt_x_difference,PKatt_y_difference,PKsv_difference,PassDead_difference,PassDead.1_difference,PassLive_difference,PassLive.1_difference,Passes_Att_difference,Passes_Blocked_difference,PenaltiesAttemped_difference,PenaltyGoals_difference,PrgC_difference,PrgDist_difference,ProgressiveCarries_x_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,ProgressivePasses_difference,ProgressiveReceive_difference,ProgressivegDist_difference,Recievd _difference,RedCards_difference,SCA_difference,SCA90_difference,SP_Att_difference,SP_Cmp_difference,SP_Cmp%_difference,Save%_difference,Save%.1_difference,Saves_difference,Sh_difference,Sh.1_difference,Sh/90_difference,Shots_difference,ShotsOnTarget_difference,Shots_Blocked_difference,SoT%_difference,SoT/90_difference,SoTA_difference,Starts_difference,Sw_difference,TB_difference,TI_difference,TO_difference,TO.1_difference,Tackles_Att_3rd_difference,Tackles_Def_3rd_difference,Tackles_Won_difference,Tackles_mid_3rd_difference,TotDist_x_difference,TotDist_y_difference,Total_Blocks_difference,Total_Tackles_difference,Touches_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesDef 3rd_difference,TouchesDef Pen_difference,TouchesLive_difference,TouchesMid 3rd_difference,W_difference,Year_difference,YelloCards_difference
2023-2024,Germany,Scotland,,,Germany,-3.033333333333335,5.587499999999999,0.1941666666666667,4.333333333333333,1534.075,0.15000000000000213,-2.333333333333332,11.41666666666666,,,1074.3,13.0,63.625,1384.6333333333332,8.60541666666667,1384.6333333333332,63.749999999999986,,57.400000000000006,-0.33333333333333326,0.3333333333333333,-7.333333333333336,-8.999999999999996,11.766666666666664,21.16666666666666,57.33333333333334,17.083333333333332,36.916666666666664,2.0,14.5,-2.5,-0.6666666666666666,,,7.333333333333333,0.36416666666666664,-1.0,0.0,-0.05999999999999989,-0.07500000000000001,-0.09916666666666668,0.255,2.833333333333333,-2.485,-0.5833333333333335,0.8666666666666667,-2.833333333333333,-3.333333333333333,1.2966666666666664,0.43,-2.833333333333334,-223.05,-2.5,0.49750000000000005,0.47333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,-2.6500000000000004,-1.0666666666666667,17.395833333333336,,161.16666666666666,123.66666666666669,8.132083333333327,1458.2208333333333,-4.583333333333329,654.7416666666668,611.4958333333333,13.79625,-273.0833333333335,-2.5,-1.0,0.09250000000000011,2.833333333333335,,,0.0,,5.416666666666666,0.5833333333333333,20.166666666666664,5.0,1534.075,-1.6666666666666643,0.0,0.0,31.0,8095.166666666667,40.49999999999994,31.0,26.66666666666667,110.74999999999997,110.74999999999997,2882.054166666667,1317.2708333333333,0.1666666666666666,40.5,2.6625000000000005,681.0625,647.725,7.28125,,,,0.0,0.16666666666666669,0.925,-3.666666666666657,1.5,11.575,1.4583333333333286,0.22333333333333327,,16.5625,8.991666666666667,0.6666666666666661,-15.674999999999997,4.166666666666666,-0.16666666666666663,0.33333333333333304,10.3125,0.5,-3.5,17266.4625,5479.366666666666,-6.833333333333336,-7.499999999999986,1672.133333333333,241.66666666666657,19.666666666666664,612.8333333333333,688.8333333333334,1671.9666666666665,52.499999999999545,,0.0,-3.5
2023-2024,Hungary,Switzerland,,,Switzerland,-11.316666666666666,-3.6111111111111036,0.05500000000000001,0.16666666666666674,-752.4444444444443,0.3299999999999983,6.1,32.06666666666666,,,-552.4444444444443,2.0,-23.55555555555557,-738.6388888888889,-10.325000000000003,-738.6388888888889,32.0,,-91.66666666666669,-0.4,0.0,-10.666666666666664,15.600000000000001,-2.444444444444443,-5.166666666666664,-57.1,-10.5,-17.33333333333333,-0.33333333333333326,-26.666666666666657,1.0,1.0,,,5.666666666666666,0.2533333333333334,-2.0,-1.0,-0.08000000000000002,-0.03,-0.05666666666666659,0.07200000000000001,-1.0,2.677777777777778,0.33333333333333337,0.52,-2.0,1.0,-0.2400000000000001,-0.6100000000000001,0.08333333333333393,239.16666666666663,-3.0,-0.22000000000000008,-0.7300000000000001,1.0,1.0,0.1111111111111111,3.0555555555555554,-0.7500000000000001,-15.277777777777775,,-284.0,-153.0,-8.150000000000006,-753.3333333333333,-1.5833333333333357,-318.41666666666663,-326.94444444444446,-10.316666666666649,-1015.1666666666665,-24.0,-1.0,-0.0799999999999999,2.3,,,0.0,,8.466666666666667,0.0,27.299999999999997,2.666666666666667,-752.4444444444443,3.0,0.0,-1.0,-13.5,-10773.666666666666,-35.349999999999994,-13.5,-1.8333333333333286,28.5,28.5,-1721.027777777778,-642.9166666666667,-0.5833333333333334,19.16666666666667,0.8716666666666666,-334.0,-335.0,-7.294444444444437,,,,4.0,3.0,0.48,12.0,-2.0,-6.222222222222223,-10.283333333333331,-0.039999999999999925,,-12.000000000000002,1.2666666666666657,1.4,31.66666666666667,-3.333333333333334,-2.0,0.04999999999999982,1.75,-3.1499999999999986,-5.800000000000001,-9230.22222222222,-2816.3055555555557,-3.9499999999999993,-3.799999999999997,-823.9444444444443,26.5,6.0,-877.6666666666667,-945.6666666666666,-823.9444444444443,-468.0,,0.0,-5.05
2023-2024,Germany,Hungary,,,Germany,8.333333333333332,5.520833333333332,0.11583333333333329,4.0,1504.375,-0.03333333333333144,3.166666666666668,-11.416666666666671,,,946.3333333333333,0.0,46.95833333333334,1353.8333333333333,9.635416666666671,1353.8333333333333,34.583333333333314,,2.0,1.0,0.3333333333333333,14.0,-10.333333333333332,9.499999999999996,22.83333333333333,57.1,6.75,27.25,2.0,4.5,-3.5,-2.0,,,2.666666666666666,0.04416666666666669,1.0,0.0,0.020000000000000018,0.0049999999999999975,0.11749999999999991,0.22833333333333328,4.5,-4.158333333333333,-0.5833333333333335,0.48,-3.5,-6.0,1.0099999999999998,0.38,-3.166666666666667,-372.91666666666663,-2.5,0.45750000000000013,0.5,-1.0,-1.0,-0.1666666666666666,-4.583333333333333,-0.3333333333333333,11.229166666666668,,161.5,129.0,13.318749999999994,1394.3541666666665,0.0833333333333357,599.7083333333335,565.7291666666666,11.28958333333334,745.583333333333,-9.5,1.0,0.17250000000000001,3.666666666666668,,,-1.0,,-1.083333333333334,0.9166666666666666,7.666666666666657,4.0,1504.375,-0.1666666666666643,-1.0,0.0,21.666666666666657,8935.5,99.83333333333329,21.666666666666657,16.66666666666667,33.083333333333314,33.083333333333314,2465.520833333333,1259.9375,0.0,20.5,1.1958333333333337,665.7291666666666,649.7916666666666,8.581249999999997,,,,-7.0,-2.5,0.0950000000000002,-21.0,-4.5,7.708333333333334,0.7250000000000014,-0.09000000000000008,,12.895833333333334,6.958333333333334,5.0,-3.375,4.833333333333333,0.5,2.0,6.8125,5.0,5.166666666666668,14712.729166666666,4448.833333333333,2.0,7.666666666666671,1612.6666666666663,171.33333333333326,0.0,606.1666666666667,679.1666666666666,1612.4999999999998,594.6666666666663,,0.0,1.833333333333333
2023-2024,Scotland,Switzerland,,,draw,0.05000000000000071,-3.67777777777777,-0.0233333333333334,-0.16666666666666652,-782.1444444444444,0.14666666666666472,11.6,9.233333333333334,,,-680.411111111111,-11.0,-40.22222222222223,-769.4388888888889,-9.295000000000002,-769.4388888888889,2.8333333333333286,,-147.0666666666667,0.9333333333333332,0.0,10.666666666666671,14.266666666666666,-4.71111111111111,-3.4999999999999964,-57.33333333333334,-20.833333333333332,-26.999999999999993,-0.33333333333333326,-36.66666666666666,0.0,-0.33333333333333337,,,0.9999999999999991,-0.0666666666666666,0.0,-1.0,-1.1102230246251565e-16,0.05,0.16,0.04533333333333331,0.666666666666667,1.0044444444444443,0.33333333333333337,0.1333333333333333,-2.666666666666667,-1.666666666666667,-0.5266666666666667,-0.6600000000000001,-0.2499999999999991,89.30000000000001,-3.0,-0.26,-0.7033333333333334,0.3333333333333333,0.3333333333333333,-0.0555555555555555,1.1222222222222227,-0.01666666666666683,-21.444444444444443,,-283.66666666666663,-147.66666666666669,-2.9633333333333383,-817.2,3.0833333333333286,-373.45,-372.7111111111111,-12.82333333333331,3.5,-31.0,1.0,0.0,3.133333333333333,,,-1.0,,1.9666666666666668,0.3333333333333333,14.79999999999999,1.666666666666667,-782.1444444444444,4.5,-1.0,-1.0,-22.833333333333343,-9933.333333333332,23.98333333333335,-22.833333333333343,-11.833333333333329,-49.166666666666664,-49.166666666666664,-2137.561111111112,-700.25,-0.75,-0.8333333333333286,-0.5950000000000002,-349.33333333333337,-332.9333333333334,-5.99444444444444,,,,-3.0,0.3333333333333333,-0.34999999999999987,-5.333333333333343,-8.0,-10.088888888888889,-11.016666666666659,-0.3533333333333333,,-15.666666666666668,-0.7666666666666675,5.733333333333334,43.96666666666667,-2.6666666666666674,-1.3333333333333335,1.7166666666666668,-1.75,1.3500000000000014,2.866666666666667,-11783.955555555554,-3846.8388888888885,4.883333333333336,11.36666666666666,-883.411111111111,-43.833333333333314,-13.666666666666664,-884.3333333333333,-955.3333333333334,-883.411111111111,74.16666666666674,,0.0,0.2833333333333332
2023-2024,Switzerland,Germany,,,draw,2.9833333333333343,-1.9097222222222285,-0.17083333333333328,-4.166666666666667,-751.9305555555557,-0.29666666666666686,-9.266666666666667,-20.649999999999995,-0.5,-8.650000000000002,-393.8888888888889,-2.0,-23.40277777777777,-615.1944444444443,0.6895833333333314,-615.1944444444443,-66.58333333333331,4.333333333333333,89.66666666666669,-0.6,-0.3333333333333333,-3.3333333333333357,-5.266666666666669,-7.055555555555554,-17.666666666666664,0.0,3.75,-9.916666666666671,-1.6666666666666667,22.166666666666657,2.5,1.0,9.666666666666657,0.05833333333333335,-8.333333333333332,-0.2975000000000001,1.0,1.0,0.06,0.025,-0.06083333333333332,-0.3003333333333333,-3.5,1.4805555555555556,0.25000000000000006,-1.0,5.5,5.0,-0.7699999999999998,0.2300000000000001,3.083333333333333,133.75,5.5,-0.23750000000000004,0.2300000000000001,0.0,0.0,0.0555555555555555,1.5277777777777777,1.0833333333333335,4.048611111111107,3.833333333333334,122.5,24.0,-5.168749999999989,-641.0208333333333,1.5,-281.29166666666686,-238.78472222222217,-0.9729166666666913,269.5833333333335,33.5,0.0,-0.09250000000000011,-5.966666666666668,3.0,3.5,1.0,0.16666666666666663,-7.383333333333333,-0.9166666666666666,-34.966666666666654,-6.666666666666667,-751.9305555555557,-2.8333333333333357,1.0,1.0,-8.166666666666657,1838.166666666666,-64.48333333333329,-8.166666666666657,-14.833333333333343,-61.583333333333314,-61.583333333333314,-744.4930555555552,-617.0208333333333,0.5833333333333334,-39.66666666666667,-2.0675000000000003,-331.72916666666663,-314.79166666666663,-1.28680555555556,5.6000000000000085,0.016666666666669272,34.333333333333314,3.0,-0.5,-0.5750000000000002,9.0,6.5,-1.4861111111111107,9.55833333333333,0.13,43.5,-0.8958333333333321,-8.225,-6.4,-28.29166666666667,-1.4999999999999991,1.5,-2.05,-8.5625,-1.8500000000000014,0.6333333333333329,-5482.506944444445,-1632.5277777777774,1.9499999999999993,-3.8666666666666742,-788.722222222222,-197.83333333333326,-6.0,271.5,266.5,-788.5555555555554,-126.66666666666629,-2.0,0.0,3.216666666666667
2023-2024,Scotland,Hungary,,,Hungary,11.366666666666667,-0.06666666666666643,-0.07833333333333341,-0.33333333333333326,-29.700000000000045,-0.18333333333333357,5.5,-22.833333333333332,,,-127.96666666666675,-13.0,-16.666666666666657,-30.799999999999955,1.0300000000000011,-30.799999999999955,-29.16666666666667,,-55.400000000000006,1.3333333333333333,0.0,21.333333333333336,-1.3333333333333357,-2.2666666666666675,1.6666666666666679,-0.2333333333333414,-10.333333333333332,-9.666666666666664,0.0,-10.0,-1.0,-1.3333333333333335,,,-4.666666666666667,-0.31999999999999995,2.0,0.0,0.0799999999999999,0.08,0.2166666666666666,-0.0266666666666667,1.666666666666667,-1.6733333333333338,0.0,-0.3866666666666667,-0.666666666666667,-2.666666666666667,-0.2866666666666666,-0.04999999999999999,-0.33333333333333304,-149.86666666666662,0.0,-0.039999999999999925,0.026666666666666672,-0.6666666666666667,-0.6666666666666667,-0.1666666666666666,-1.9333333333333327,0.7333333333333333,-6.166666666666668,,0.3333333333333428,5.333333333333314,5.186666666666667,-63.86666666666679,4.666666666666664,-55.03333333333336,-45.76666666666662,-2.5066666666666606,1018.6666666666665,-7.0,2.0,0.0799999999999999,0.833333333333333,,,-1.0,,-6.5,0.3333333333333333,-12.500000000000007,-1.0,-29.700000000000045,1.5,-1.0,0.0,-9.333333333333343,840.333333333333,59.33333333333334,-9.333333333333343,-10.0,-77.66666666666666,-77.66666666666666,-416.53333333333376,-57.33333333333326,-0.1666666666666666,-20.0,-1.4666666666666668,-15.333333333333371,2.066666666666606,1.2999999999999972,,,,-7.0,-2.6666666666666665,-0.8299999999999998,-17.333333333333343,-6.0,-3.8666666666666663,-0.7333333333333272,-0.31333333333333335,,-3.666666666666666,-2.033333333333333,4.333333333333334,12.299999999999997,0.6666666666666665,0.6666666666666666,1.666666666666667,-3.5,4.5,8.666666666666668,-2553.7333333333336,-1030.533333333333,8.833333333333336,15.166666666666657,-59.4666666666667,-70.33333333333331,-19.666666666666664,-6.666666666666629,-9.666666666666657,-59.4666666666667,542.1666666666667,,0.0,5.333333333333333
2023-2024,Spain,Croatia,,,Spain,-5.550000000000001,4.428571428571431,0.2406249999999999,3.616071428571429,-585.2857142857144,-3.5928571428571416,22.285714285714285,17.44642857142857,,,-272.1071428571429,15.142857142857142,-29.07142857142857,-536.0714285714286,-4.346428571428561,-536.0714285714286,52.0625,,82.33333333333329,1.7142857142857142,0.2857142857142857,8.767857142857142,20.857142857142858,-1.9285714285714306,13.767857142857142,-39.6,10.94642857142857,28.8125,-0.33333333333333326,29.5,-0.35714285714285676,-0.3571428571428572,,,5.589285714285715,0.08812500000000001,-1.7142857142857144,-1.0714285714285716,-0.033571428571428585,-0.0314285714285715,-0.04812499999999992,0.4135714285714285,2.1428571428571423,-1.7666666666666666,0.6160714285714286,0.33,1.5,2.357142857142857,0.7242857142857142,0.3957142857142857,-4.666666666666667,-158.9285714285714,1.5,0.9721428571428571,0.3957142857142857,0.0,0.0,0.0,-2.0238095238095237,-0.2857142857142858,-14.535714285714286,,272.6666666666667,75.66666666666666,-18.094230769230776,-567.3928571428571,0.6666666666666643,-296.07142857142856,-281.6428571428571,3.9011904761904503,-499.0,-2.5,-0.6428571428571432,-0.0639285714285715,4.0,,,-0.8571428571428572,,6.383928571428571,1.4375,41.86607142857143,4.366071428571429,-585.2857142857144,17.92857142857143,-0.8571428571428572,-1.0714285714285716,33.14285714285714,6342.666666666666,115.92857142857144,33.14285714285714,28.1875,68.01785714285714,68.01785714285714,-258.7142857142858,-380.2142857142858,0.1785714285714285,38.24107142857143,0.983392857142857,-217.89285714285722,-202.28571428571428,6.221428571428561,,,,2.3571428571428568,0.3571428571428571,0.667142857142857,10.857142857142847,2.3571428571428577,-5.071428571428571,-3.6187499999999986,0.08428571428571441,,-4.464285714285715,9.928571428571429,5.6875,-14.892857142857139,3.678571428571429,1.8571428571428568,7.642857142857142,-4.785714285714285,23.285714285714285,13.0,-4777.440476190473,-628.4285714285716,21.357142857142858,38.14285714285714,-627.5357142857144,192.2410714285714,19.571428571428555,365.33333333333337,583.1666666666666,-627.5357142857144,692.8571428571429,,0.0,3.0
2023-2024,Italy,Albania,,,Italy,18.875,-3.7666666666666657,0.04799999999999999,1.4,983.6999999999999,-2.59375,16.75,-7.199999999999999,8.0,25.7,706.2333333333331,8.285714285714285,-1.9333333333333371,820.5,0.9200000000000017,820.5,14.700000000000003,4.5,83.0,0.25,0.0,5.714285714285715,-13.375,8.966666666666669,7.642857142857142,40.0,13.82857142857143,27.514285714285712,3.5,3.5,1.7142857142857135,1.0,6.5,-0.7300000000000001,3.2714285714285722,0.11828571428571441,-3.571428571428571,-2.1428571428571432,-0.02142857142857152,-0.02714285714285719,0.014999999999999902,0.17625,-1.5714285714285712,0.7666666666666666,-0.5857142857142859,-0.002857142857142836,1.1428571428571428,0.5714285714285714,0.65,0.6528571428571429,3.0,69.16666666666657,1.1428571428571428,0.13299999999999995,0.6528571428571429,0.0,0.0,0.0,0.7666666666666666,0.1333333333333333,4.5,-3.5,52.5,57.0,3.005833333333335,957.2666666666665,16.0,380.6,339.90000000000003,0.7516666666666794,1698.75,6.428571428571431,-1.4285714285714288,0.06428571428571428,3.5625,2.0,2.5,-3.0,0.5,1.8499999999999996,0.09999999999999998,20.1,1.3285714285714278,983.6999999999999,5.8125,-3.0,-2.1428571428571432,13.48571428571428,4724.5,111.9375,13.48571428571428,26.0,64.17142857142858,64.17142857142858,1847.2666666666669,904.8666666666666,-0.4333333333333334,28.02857142857144,1.2318571428571428,468.73333333333335,416.8,0.7166666666666686,12.549999999999997,-8.299999999999997,61.5,1.2857142857142856,0.2857142857142857,0.6642857142857146,-4.428571428571431,-5.571428571428573,-2.9333333333333336,-0.25428571428571445,0.08142857142857163,69.0,12.35,6.1833333333333345,2.6125,2.0,3.1571428571428566,0.7142857142857143,6.1875,11.933333333333334,8.375,0.75,8344.6,3390.533333333333,0.25,11.5625,1081.3666666666663,159.5857142857143,-5.142857142857139,536.0,480.0,1081.3333333333335,558.1875,16.5,0.0,-0.8125
2023-2024,Croatia,Albania,,,draw,16.075,-6.399999999999999,-0.07,-1.0,678.9,1.2749999999999986,-12.25,-29.5,,,471.5,2.0,13.5,591.0,1.6299999999999955,591.0,-39.5,,43.0,-0.5,0.0,-11.5,-34.0,4.5,-5.0,40.0,-0.75,-4.75,1.5,13.0,2.5,1.5,,,0.0,0.1525000000000001,-2.0,-2.5,-0.015000000000000013,0.03,0.06499999999999989,-0.0925,-2.0,-0.04999999999999982,-1.0,-0.27,0.5,-0.5,-0.010000000000000009,0.26,2.5,-4.5,0.5,-0.32,0.26,0.0,0.0,0.0,0.20000000000000018,0.8,5.399999999999999,,42.5,53.0,22.720000000000006,630.4,15.0,232.10000000000002,213.8,-2.9749999999999943,1442.75,-0.5,0.5,0.12,-2.75,,,-3.0,,-6.25,-0.5,-22.0,-1.0,678.9,-17.75,-3.0,-2.5,-19.25,3235.5,-73.25,-19.25,-3.5,-20.5,-20.5,1354.9,552.3,-0.5,-15.75,0.3424999999999998,373.5,342.8,-5.719999999999999,,,,-1.5,0.5,-0.15999999999999992,-17.0,-6.5,-0.5999999999999996,5.375,-0.030000000000000027,,14.65,1.9500000000000002,-1.25,24.9,0.5,0.0,-2.25,6.800000000000001,-21.75,-20.75,12283.1,2097.0,-28.75,-40.75,757.9000000000001,-80.5,-6.0,274.0,-127.5,757.9000000000001,-583.5,,0.0,-7.0
2023-2024,Spain,Italy,,,Spain,-8.350000000000001,1.7952380952380977,0.1226249999999999,1.216071428571429,-890.0857142857144,0.27589285714285694,-6.714285714285715,-4.853571428571431,3.333333333333334,11.966666666666669,-506.840476190476,8.857142857142858,-13.638095238095232,-765.5714285714286,-3.636428571428567,-765.5714285714286,-2.137500000000003,-0.33333333333333304,42.333333333333286,0.9642857142857142,0.2857142857142857,-8.446428571428573,0.23214285714285765,-6.395238095238099,1.125,-39.6,-3.63214285714286,-3.4517857142857125,-2.333333333333333,39.0,0.4285714285714297,0.1428571428571428,2.0,-0.043333333333333224,2.317857142857143,0.1223392857142857,-0.14285714285714324,-1.4285714285714284,-0.02714285714285708,0.02571428571428569,0.001875000000000071,0.1448214285714285,1.7142857142857135,-2.583333333333333,0.2017857142857144,0.06285714285714283,0.8571428571428572,1.2857142857142858,0.06428571428571417,0.0028571428571427804,-5.166666666666667,-232.59523809523796,0.8571428571428572,0.5191428571428571,0.0028571428571427804,0.0,0.0,0.0,-2.59047619047619,0.3809523809523809,-13.635714285714288,3.333333333333333,262.6666666666667,71.66666666666666,1.6199358974358944,-894.2595238095237,-0.3333333333333357,-444.57142857142856,-407.74285714285713,0.17452380952377666,-755.0,-9.42857142857143,1.2857142857142856,-0.008214285714285785,-2.3125,-2.0,-1.3333333333333335,-0.8571428571428572,0.33333333333333326,-1.7160714285714285,0.8375,-0.23392857142857082,2.037500000000001,-890.0857142857144,-5.633928571428569,-0.8571428571428572,-1.4285714285714284,0.40714285714285836,4853.666666666666,-69.25892857142856,0.40714285714285836,-1.3125,-16.65357142857144,-16.65357142857144,-751.0809523809526,-732.7809523809524,0.1119047619047619,-5.5375000000000085,0.094035714285714,-313.1261904761906,-276.2857142857143,-0.21523809523810655,-11.766666666666666,29.15,-34.0,-0.4285714285714288,0.5714285714285714,-0.15714285714285747,-1.7142857142857224,1.4285714285714306,-2.7380952380952372,2.010535714285716,-0.027142857142857246,-33.66666666666667,-2.1642857142857146,5.6952380952380945,1.8250000000000002,8.00714285714286,1.0214285714285722,1.1428571428571423,-0.7946428571428577,-9.919047619047618,-6.839285714285715,-8.5,-838.9404761904734,-1921.9619047619044,-7.642857142857142,-14.169642857142861,-951.0023809523807,-47.8446428571429,18.714285714285694,103.33333333333337,-24.33333333333337,-950.9690476190478,-448.8303571428571,-1.0,0.0,-3.1875
