,index,date,home_team,away_team,home_score,away_score,Season,result
0,40371,2017-03-22,Germany,England,1.0,0.0,2016-2017,Germany
1,40394,2017-03-24,Austria,Moldova,2.0,0.0,2016-2017,Austria
2,40396,2017-03-24,Croatia,Ukraine,1.0,0.0,2016-2017,Croatia
3,40397,2017-03-24,Georgia,Serbia,1.0,3.0,2016-2017,Serbia
4,40399,2017-03-24,Republic of Ireland,Wales,0.0,0.0,2016-2017,Draw
5,40400,2017-03-24,Italy,Albania,2.0,0.0,2016-2017,Italy
6,40401,2017-03-24,Kosovo,Iceland,1.0,2.0,2016-2017,Iceland
7,40403,2017-03-24,Liechtenstein,North Macedonia,0.0,3.0,2016-2017,North Macedonia
8,40411,2017-03-24,Turkey,Finland,2.0,0.0,2016-2017,Turkey
9,40416,2017-03-25,Bulgaria,Netherlands,2.0,0.0,2016-2017,Bulgaria
10,40417,2017-03-25,Cyprus,Estonia,0.0,0.0,2016-2017,Draw
11,40419,2017-03-25,Luxembourg,France,1.0,3.0,2016-2017,France
12,40421,2017-03-25,Portugal,Hungary,3.0,0.0,2016-2017,Portugal
13,40423,2017-03-25,Sweden,Belarus,4.0,0.0,2016-2017,Sweden
14,40424,2017-03-25,Switzerland,Latvia,1.0,0.0,2016-2017,Switzerland
15,40435,2017-03-26,Northern Ireland,Norway,2.0,0.0,2016-2017,Northern Ireland
16,40436,2017-03-26,Romania,Denmark,0.0,0.0,2016-2017,Draw
17,40438,2017-03-26,Scotland,Slovenia,1.0,0.0,2016-2017,Scotland
18,40443,2017-03-27,Turkey,Moldova,3.0,1.0,2016-2017,Turkey
19,40445,2017-03-28,Albania,Bosnia,1.0,2.0,2016-2017,Bosnia
20,40447,2017-03-28,Austria,Finland,1.0,1.0,2016-2017,Draw
21,40456,2017-03-28,Estonia,Croatia,3.0,0.0,2016-2017,Estonia
22,40457,2017-03-28,France,Spain,0.0,2.0,2016-2017,Spain
23,40458,2017-03-28,Georgia,Latvia,5.0,0.0,2016-2017,Georgia
24,40462,2017-03-28,Republic of Ireland,Iceland,0.0,1.0,2016-2017,Iceland
25,40469,2017-03-28,North Macedonia,Belarus,3.0,0.0,2016-2017,North Macedonia
26,40474,2017-03-28,Netherlands,Italy,1.0,2.0,2016-2017,Italy
27,40480,2017-03-28,Portugal,Sweden,2.0,3.0,2016-2017,Sweden
28,40481,2017-03-28,Russia,Belgium,3.0,3.0,2016-2017,Draw
29,40512,2017-06-01,Switzerland,Belarus,1.0,0.0,2016-2017,Switzerland
30,40519,2017-06-03,Portugal,Cyprus,4.0,0.0,2016-2017,Portugal
