Season,home_team,away_team,home_score,away_score,result,90s_difference,Age_difference,AssistPer90_difference,Assists_difference,Att_difference,AvgShotDistance_difference,Blocked_difference,CK_difference,CS_difference,CS%_difference,Carries_difference,CarriesPenArea_difference,Clearance_difference,Cmp_difference,Cmp%_difference,Completed_difference,Crs_difference,D_difference,Dead_difference,Def_difference,Def.1_difference,Dispossed_difference,Drib_Tackle_Lost_difference,Drib_Tackled_difference,DribbleSucc_difference,DribbleSucc%_difference,DribbleTkld_difference,DribblesAtt_difference,Errors_to_shot_difference,FK_difference,Fld_difference,Fld.1_difference,GA_difference,GA90_difference,GCA_difference,GCA90_difference,Goals_difference,GoalsFromPenalties_difference,GoalsPer90_difference,GoalsPerShot_difference,GoalsPerShotOnTarget_difference,GoalsandAssistPer90_difference,GoalsandAssists_difference,Int 90s_difference,Int Assists_difference,Int Assists Per 90_difference,Int Goals_difference,Int Goals + Assists _difference,Int Goals + Assits Per 90_difference,Int Goals Per 90_difference,Int Matches Played_difference,Int Min_difference,Int Non Penalty Goals_difference,Int Non Penalty Goals + Assits Per 90_difference,Int Non Penalty Goals Per 90_difference,Int Penaltes Attempted_difference,Int Penalty Goals_difference,Int Red Cards_difference,Int Starts_difference,Int Yellow Cards_difference,Interceptions_difference,L_difference,LP_Att_difference,LP_Cmp_difference,LP_Cmp%_difference,Live_difference,MP_difference,MP_Att_difference,MP_Cmp_difference,MP_Cmp%_difference,Min_difference,Miscontrolled_difference,NonPenaltyGoals_difference,NonPenaltyGoalsPer90_difference,Offside_pass_difference,PKA_difference,PKatt_x_difference,PKatt_y_difference,PKsv_difference,PassDead_difference,PassDead.1_difference,PassLive_difference,PassLive.1_difference,Passes_Att_difference,Passes_Blocked_difference,PenaltiesAttemped_difference,PenaltyGoals_difference,PrgC_difference,PrgDist_difference,ProgressiveCarries_x_difference,ProgressiveCarries_y_difference,ProgressiveFinalThird_difference,ProgressivePasses_difference,ProgressiveReceive_difference,ProgressivegDist_difference,Recievd _difference,RedCards_difference,SCA_difference,SCA90_difference,SP_Att_difference,SP_Cmp_difference,SP_Cmp%_difference,Save%_difference,Save%.1_difference,Saves_difference,Sh_difference,Sh.1_difference,Sh/90_difference,Shots_difference,ShotsOnTarget_difference,Shots_Blocked_difference,SoT%_difference,SoT/90_difference,SoTA_difference,Starts_difference,Sw_difference,TB_difference,TI_difference,TO_difference,TO.1_difference,Tackles_Att_3rd_difference,Tackles_Def_3rd_difference,Tackles_Won_difference,Tackles_mid_3rd_difference,TotDist_x_difference,TotDist_y_difference,Total_Blocks_difference,Total_Tackles_difference,Touches_difference,TouchesAtt 3rd_difference,TouchesAtt Pen_difference,TouchesDef 3rd_difference,TouchesDef Pen_difference,TouchesLive_difference,TouchesMid 3rd_difference,W_difference,Year_difference,YelloCards_difference
2017-2018,Estonia,Sweden,1.0,1.0,Draw,0.5666666666666664,6.333333333333332,-0.0866666666666666,-1.0,252.33333333333337,-17.400000000000002,,,,,226.33333333333337,-6.333333333333333,22.666666666666664,356.66666666666663,10.433333333333323,,,,,-0.6666666666666666,-0.3333333333333333,-7.666666666666666,-8.666666666666666,-4.333333333333334,-4.0,-1.7999999999999972,-3.0,-7.0,0.33333333333333337,,-2.6666666666666665,-0.6666666666666666,,,0.0,-0.09999999999999998,0.0,-1.0,-0.026666666666666602,0.99,1.0,-0.1833333333333333,-1.6666666666666665,7.2,0.6666666666666667,0.033333333333333395,-0.3333333333333333,0.33333333333333337,-0.039999999999999994,-0.0766666666666666,5.0,647.3333333333334,-0.3333333333333333,-0.039999999999999994,-0.0766666666666666,0.0,0.0,0.0,7.333333333333333,2.5,-5.0,,19.0,41.0,13.650000000000006,,7.0,319.0,362.6666666666667,14.133333333333326,51.66666666666674,-10.666666666666668,0.6666666666666667,0.06,,,,-1.3333333333333333,,-9.0,-0.3333333333333333,-5.0,1.6666666666666667,,-9.0,-1.3333333333333333,-1.0,-0.6666666666666661,3183.666666666667,8.666666666666671,-0.6666666666666661,-5.333333333333334,-38.66666666666666,-38.66666666666666,946.6666666666667,325.33333333333337,0.0,-8.0,-2.636666666666666,-63.333333333333314,-42.666666666666686,3.4666666666666828,,,,-1.6666666666666667,-0.3333333333333333,-2.2199999999999998,-17.0,-2.333333333333333,-1.333333333333333,61.86666666666667,-0.9200000000000003,,-3.666666666666668,,,,-2.333333333333333,0.0,-2.0,-8.0,-7.666666666666668,-7.0,9335.666666666666,1165.3333333333335,-6.666666666666668,-11.0,226.33333333333326,-109.66666666666666,-20.666666666666668,208.0,21.33333333333333,226.33333333333326,293.0,,0.0,3.666666666666667
2017-2018,Denmark,Sweden,0.0,1.0,Sweden,12.966666666666665,3.083333333333332,0.11583333333333341,2.525,304.08333333333337,-0.3500000000000014,2.5,22.0,,,212.33333333333337,2.333333333333333,74.91666666666666,318.16666666666663,4.058333333333323,-365.75,82.0,,329.5,1.3333333333333335,0.16666666666666669,24.083333333333336,30.833333333333336,5.416666666666666,12.625,18.200000000000003,15.25,27.875,4.333333333333333,102.5,-0.9999999999999998,-0.6666666666666666,,,2.708333333333333,0.01916666666666661,4.4,-0.6,0.2733333333333334,0.11,0.2764999999999999,0.09666666666666662,4.533333333333333,1.9875,-0.10833333333333331,0.007333333333333289,-0.1333333333333333,-0.2666666666666666,0.0020000000000000018,-0.0086666666666666,0.0,180.45833333333334,-0.1333333333333333,-0.016499999999999987,-0.0086666666666666,0.0,0.0,0.0,1.9583333333333333,0.5,24.5,,791.0,351.0,7.475000000000001,-428.0,15.0,222.0,232.16666666666669,10.495833333333323,1171.6666666666667,25.333333333333332,4.666666666666667,0.2427499999999999,3.5,,,-0.5333333333333332,,-2.125,1.1666666666666667,26.25,2.958333333333333,-479.25,15.5,-0.5333333333333332,-0.6,23.499999999999993,15239.666666666668,98.16666666666667,23.499999999999993,41.166666666666664,76.70833333333334,76.70833333333334,216.66666666666674,239.08333333333337,0.0,27.66666666666667,-0.7504166666666663,13.916666666666686,15.083333333333314,0.8416666666666828,,,,3.0,0.0,-0.79,0.8000000000000007,13.26666666666667,8.916666666666668,-1.7374999999999972,0.1479999999999997,,10.208333333333332,0.125,-0.25,-53.0,1.541666666666667,0.0,6.5,14.25,49.83333333333333,39.5,10378.166666666666,194.83333333333348,22.833333333333332,68.0,419.83333333333326,229.24999999999991,39.0,757.0,868.3333333333334,419.83333333333326,667.0,,0.0,5.0
2017-2018,Austria,Slovenia,3.0,0.0,Austria,-29.116666666666667,1.4375,-0.012333333333333404,1.2999999999999998,539.0238095238095,1.2333333333333307,-9.75,12.5,-22.0,-59.5,323.3571428571429,25.0,32.85714285714286,424.42857142857144,-4.735714285714295,-587.375,33.75,-10.0,-311.0,0.0,0.0,7.5,16.0,12.238095238095235,2.1999999999999993,-25.39999999999999,27.700000000000003,30.400000000000006,0.0,-35.0,2.0,-0.5,-18.0,3.41,1.9000000000000004,0.127,-3.0,-2.0,-0.10000000000000003,0.15500000000000003,0.11099999999999999,0.0566666666666666,-1.0,-4.3687499999999995,0.25,0.32,1.0,2.0,0.64,0.32,-5.5,-395.1875,1.0,0.28,0.32,0.0,0.0,-0.5,-4.6875,-0.9166666666666667,17.809523809523807,-4.0,-654.0,-265.0,-18.135714285714286,-552.25,-14.0,195.21428571428572,169.66666666666663,1.435714285714269,-2620.3333333333335,23.0,-1.0,0.08949999999999991,-0.5,-1.0,-3.0,-3.0,-2.0,-4.1,-2.0,22.549999999999997,1.5,-587.125,14.333333333333329,-3.0,-2.0,-2.5,-14272.0,64.83333333333333,-2.5,-28.4,57.69999999999999,57.69999999999999,721.7857142857144,374.7619047619048,0.1666666666666666,-11.799999999999997,-0.738,231.28571428571428,202.28571428571428,-2.614285714285728,-33.3,25.0,-99.0,3.5,1.0,2.13,55.0,-6.0,7.2857142857142865,15.260000000000002,-0.19999999999999996,-118.0,-13.0,7.0,-1.5,4.0,0.7999999999999998,2.0,2.333333333333333,17.52380952380952,30.333333333333336,19.0,-4889.357142857143,1602.3571428571431,17.0,42.5,639.8809523809524,-48.0,108.0,-922.0,-822.0,639.8809523809524,467.16666666666674,-22.0,0.0,1.666666666666666
2017-2018,Bulgaria,Bosnia,0.0,1.0,Bosnia,-21.0,4.0,-0.17,-2.5,-1152.0,11.399999999999999,,,,,-621.0,-24.0,-45.0,-971.0,-15.500000000000007,,,,,1.0,0.0,-54.5,-14.0,-20.0,-34.0,6.300000000000011,-17.5,-52.5,0.0,,-4.0,1.0,,,-7.0,-0.15999999999999998,-13.0,1.0,-0.24,-0.05,-0.21999999999999997,-0.24999999999999994,-15.0,-4.4,-1.0,-0.12,-5.0,-6.0,-0.74,-0.62,-4.0,-398.0,-4.0,-0.46499999999999997,-0.5,-1.0,-1.0,0.0,-6.0,-2.0,-24.0,,-84.0,-66.0,30.799999999999997,,-16.0,-449.0,-392.0,-20.800000000000004,-1889.0,-32.0,-14.0,-0.39999999999999997,,,,1.0,,-2.0,0.0,-85.0,-5.5,,4.0,1.0,1.0,-46.5,-5265.0,-80.0,-46.5,-46.0,-237.0,-237.0,-2273.0,-676.0,0.0,-106.5,-1.8250000000000002,-565.0,-519.0,-17.5,,,,-7.0,-1.0,-1.9000000000000004,-119.0,-42.0,-2.0,-0.5999999999999943,-0.5499999999999998,,-13.0,,,,-16.0,-1.0,-6.0,-27.0,-32.0,-8.0,-14296.0,-2789.0,2.0,-42.0,-1208.0,-503.0,-151.0,-365.0,-44.0,-1209.0,-512.0,,0.0,-4.0
2017-2018,Germany,Spain,1.0,1.0,Draw,-25.75,0.7333333333333343,-0.08600000000000002,0.25,-380.3333333333337,0.4375,4.333333333333329,17.875,-16.0,18.1,-388.1500000000001,-0.5,-6.266666666666666,-412.63333333333367,-6.516666666666666,37.46666666666624,18.25,-6.0,-150.0,0.0,-0.2,-13.2,-9.549999999999997,0.7333333333333343,-11.516666666666666,-45.2,3.8000000000000007,-7.716666666666654,-3.0,-17.0,-1.833333333333333,-0.5,-26.0,-0.08999999999999997,0.9666666666666686,0.034500000000000086,-3.166666666666666,0.0,0.0050000000000000044,0.013333333333333391,0.08000000000000007,-0.10975000000000001,-3.666666666666668,-1.563333333333333,0.35,0.5,-1.3333333333333333,-0.8333333333333333,-0.20000000000000007,-0.7000000000000001,-1.5,-142.75,-1.3333333333333333,-0.015000000000000069,-0.7000000000000001,0.0,0.0,0.0833333333333333,-1.266666666666667,0.04999999999999999,-16.799999999999997,-6.0,-673.0,-285.0,0.9391666666666652,109.33333333333371,-22.1,-6.516666666666765,-24.299999999999955,-0.24166666666666003,-2315.5,-13.0,-3.166666666666666,0.07199999999999995,-2.166666666666666,-1.0,-1.0,-0.33333333333333326,0.0,3.508333333333333,0.6666666666666667,-12.808333333333323,0.5999999999999996,180.2666666666662,2.9750000000000014,-0.33333333333333326,0.0,-13.983333333333334,-18513.0,-125.69999999999999,-13.983333333333334,-11.333333333333336,-3.1666666666666288,-3.1666666666666288,-662.6333333333337,-364.5833333333337,-0.6,-16.86666666666666,-0.8296666666666668,-381.5166666666667,-367.3333333333334,0.3516666666666879,-9.299999999999997,,-109.0,0.666666666666667,0.5,0.11833333333333362,-5.5,-2.5,-2.4333333333333336,1.586666666666673,0.05999999999999983,-133.0,-17.866666666666667,7.574999999999999,1.916666666666667,47.0,-1.75,-1.0,-3.6500000000000004,-2.4166666666666643,2.6499999999999986,-1.9750000000000014,-8789.0,-1414.8999999999996,3.2250000000000014,-4.375,-398.71666666666647,-38.383333333333326,-0.5,-1056.0,-971.0,-398.1166666666661,-444.0250000000001,-22.0,0.0,-0.3500000000000001
2017-2018,Netherlands,England,0.0,1.0,England,-24.450000000000003,1.6999999999999993,-0.09875000000000009,-0.1250000000000009,-1307.1333333333332,1.7375000000000007,-2.5,23.75,-3.0,-4.400000000000002,-756.4000000000001,-6.0,9.966666666666683,-1122.925,-3.6499999999999915,-193.94444444444434,58.0,-8.5,-294.5,0.5,0.5,-5.833333333333343,11.75,-7.949999999999999,-4.375,-13.225000000000009,-7.791666666666664,-12.500000000000014,-5.0,-101.5,-3.0,-1.6666666666666665,-40.5,-0.5,-1.583333333333334,-0.02583333333333332,-3.666666666666668,-0.9166666666666665,0.0008333333333333526,0.051666666666666694,-0.19500000000000003,0.08562499999999999,-0.0833333333333286,-2.926666666666667,0.16666666666666674,0.0408333333333334,-1.25,-1.333333333333333,0.0525000000000001,0.011666666666666714,0.16666666666666607,-261.6333333333333,-0.25,0.3108333333333334,0.16833333333333342,-1.0,-1.0,0.0,-2.383333333333333,0.8833333333333333,-21.983333333333334,-13.5,-1016.0,-382.0,2.2527272727272702,-243.0138888888889,-24.5,-609.2916666666666,-553.2166666666667,0.42045454545456096,-2198.75,26.0,-2.75,-0.1175000000000001,-2.875,1.0,-0.5,-1.583333333333333,-0.5,1.083333333333333,0.20833333333333331,-12.25,-2.458333333333334,-230.90277777777783,-8.375,-1.583333333333333,-0.9166666666666665,3.5833333333333286,-23699.0,-93.75,3.5833333333333286,-24.583333333333336,-70.375,-70.375,-1916.875,-1073.775,-0.0833333333333334,-2.041666666666657,1.0870833333333332,-464.57500000000005,-422.23333333333335,0.04636363636363683,13.75,-13.9,-68.0,-0.3333333333333339,1.6666666666666667,-1.8758333333333332,-68.16666666666669,-1.5833333333333357,1.3666666666666654,16.57083333333334,0.250833333333333,-109.5,-14.533333333333331,-3.0138888888888893,-2.5,34.06944444444444,-3.541666666666668,-1.333333333333333,-1.25,-6.558333333333337,-12.125,-14.875,-17534.216666666667,-3555.633333333334,-12.25,-15.375,-1444.3833333333337,-80.5,-89.33333333333329,-1383.0,-1172.0,-1444.3833333333337,-674.625,0.5,0.0,-0.9375
2017-2018,Armenia,Estonia,0.0,0.0,Draw,-10.3,-2.0,0.49,5.0,-629.0,20.700000000000003,,,,,-437.0,4.0,-82.0,-644.0,-13.199999999999989,,,,,1.0,0.0,20.0,14.0,-1.0,10.0,-34.8,16.0,26.0,-1.0,,2.0,0.0,,,3.0,0.39999999999999997,0.0,0.0,0.25,-0.6699999999999999,-0.8,0.31,5.0,-2.0,1.0,0.18,2.0,3.0,0.51,0.62,-2.0,-180.0,2.0,0.45999999999999996,0.62,0.0,0.0,0.0,-2.0,-1.5,-8.0,,-81.0,-69.0,-24.500000000000007,,-10.0,-522.0,-519.0,-14.5,-923.0,16.0,0.0,0.04000000000000001,,,,0.0,,8.0,2.0,19.0,0.0,,2.0,0.0,0.0,25.0,-5951.0,-12.0,25.0,32.0,64.0,64.0,-1600.0,-460.0,0.0,36.0,4.26,-77.0,-89.0,-6.099999999999994,,,,1.0,0.0,1.4,14.0,3.0,-5.0,-66.7,0.39,,-5.0,,,,5.0,1.0,3.0,-2.0,1.0,0.0,-15041.0,-2405.0,-3.0,1.0,-665.0,305.0,16.0,-545.0,-85.0,-665.0,-421.0,,0.0,-4.0
2017-2018,Albania,Norway,0.0,1.0,Norway,3.5,-3.25,-0.09,-1.0,1109.3333333333333,-5.300000000000001,5.5,-0.5,2.5,4.75,700.6666666666667,3.0,62.333333333333314,943.6666666666667,-2.8333333333333286,998.0,5.5,-0.5,96.5,-1.5,0.0,-20.25,-9.5,9.0,-11.5,-95.85,-22.75,-35.25,-1.5,21.0,-0.33333333333333337,0.0,-2.5,-0.22499999999999987,-2.0,-0.18999999999999997,-6.333333333333333,0.0,-0.2233333333333333,0.0,-0.2366666666666666,-0.1233333333333333,-6.0,-5.758333333333333,-0.6666666666666666,-0.12,-0.3333333333333333,-0.6666666666666666,-0.24,-0.12,-7.0,-519.4166666666667,0.0,-0.34,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-5.5,0.0,32.0,-3.0,-283.5,-57.0,-7.25,1061.0,3.5,373.66666666666663,313.33333333333337,-3.950000000000003,315.0,14.0,-6.333333333333333,-0.2216666666666666,-4.0,0.0,0.0,0.0,1.0,2.25,0.0,-8.25,-0.666666666666667,1165.5,-4.5,0.0,0.0,-0.5,-2743.0,-34.0,-0.5,-26.333333333333336,-59.0,-59.0,2373.333333333333,750.3333333333333,-0.33333333333333337,-9.75,-0.3999999999999999,599.6666666666666,548.6666666666666,-1.7666666666666515,-1.3499999999999943,30.0,-9.5,2.0,0.0,0.20999999999999996,13.666666666666668,-13.666666666666666,5.0,-22.491666666666667,-0.8366666666666666,-11.0,4.916666666666664,8.0,-2.0,87.5,-3.916666666666667,0.3333333333333333,2.0,19.33333333333333,-37.5,-35.0,6326.75,4168.666666666667,-10.0,-53.0,1292.0,-45.25,4.0,-120.5,-72.5,1292.0,-482.0,7.0,0.0,-1.0
2017-2018,Portugal,Netherlands,0.0,3.0,Netherlands,14.575,2.8000000000000007,0.1350000000000001,-1.458333333333333,146.58333333333326,-0.5125000000000028,13.916666666666664,-1.5833333333333357,10.0,28.1,93.5,-3.5,-17.166666666666686,73.375,-2.4250000000000114,-97.25,-20.75,4.5,225.5,-0.5,-0.5,-10.916666666666657,-9.5,-1.25,-9.75,1.5250000000000057,-18.333333333333336,-28.08333333333333,1.5,77.5,-4.0,-0.5,6.5,-0.32000000000000006,-4.083333333333334,-0.10749999999999998,-5.0,-0.25,-0.08250000000000002,-0.15,0.09708333333333338,0.10830357142857139,-10.25,0.8166666666666669,-0.4583333333333333,-0.1075,1.25,1.0,0.0675,0.175,-3.416666666666666,73.63333333333333,0.75,-0.30875,0.04999999999999999,1.0,0.5,0.0,0.7833333333333332,-0.6333333333333333,-2.4166666666666643,2.5,180.5,76.75,-12.522727272727266,-110.375,14.5,-4.458333333333371,-26.333333333333314,-10.095454545454572,1311.0,-53.0,-4.75,0.08750000000000013,1.208333333333334,2.0,1.5,0.25,-0.5,3.416666666666667,-0.3333333333333333,9.75,-1.666666666666666,-73.625,-2.75,0.25,-0.25,-1.5833333333333286,4836.0,-15.75,-1.5833333333333286,12.833333333333336,38.75,38.75,-56.375,107.875,-0.0666666666666666,-26.666666666666686,-0.7833333333333332,121.375,108.58333333333337,-3.9113636363636317,0.3500000000000085,-11.1,32.0,-2.0,0.5,3.6125,62.0,-1.75,-1.666666666666666,-8.674999999999997,0.3025,38.5,11.033333333333331,10.541666666666664,5.208333333333334,20.125,-3.666666666666666,0.5,-1.25,1.7083333333333357,-6.0,-5.125,5642.416666666667,268.8333333333337,-3.625,-10.75,169.33333333333337,2.75,41.5,320.5,46.0,169.33333333333337,-189.25,10.5,0.0,0.9017857142857144
2017-2018,England,Italy,1.0,1.0,Draw,18.250000000000004,-8.583333333333336,0.01999999999999999,1.083333333333334,958.175,-1.3499999999999979,-14.333333333333336,-18.166666666666664,-1.0,-26.099999999999998,492.6500000000001,12.714285714285715,-7.716666666666669,830.4666666666666,2.8416666666666544,520.9444444444443,-56.66666666666667,8.0,165.0,-0.7777777777777777,-0.3333333333333333,6.339285714285715,-6.722222222222221,6.074999999999999,8.732142857142858,-13.299999999999997,17.55357142857143,25.90476190476192,3.0,90.0,5.428571428571429,1.3809523809523807,44.0,0.85,2.738095238095239,-0.0223809523809525,12.380952380952381,1.3809523809523807,0.28523809523809524,0.0719047619047619,0.07541666666666663,-0.0694444444444444,12.047619047619042,-2.060833333333333,-0.3333333333333334,-0.06190476190476199,-0.1428571428571428,-0.8095238095238098,-0.13000000000000012,-0.0680952380952381,-2.0,137.96428571428572,-1.0,-0.23351190476190478,-0.20904761904761912,0.8571428571428572,0.8571428571428572,-0.0416666666666666,-2.6083333333333334,-0.041666666666666685,21.775,13.0,757.0,235.0,-2.1272222222222155,625.6388888888889,9.0,466.375,429.54999999999995,-1.5291666666666828,1642.0,1.5714285714285694,11.0,0.10553571428571429,1.166666666666666,0.0,1.0,1.6190476190476188,0.0,-3.4027777777777777,-0.375,7.861111111111114,2.2142857142857144,569.8277777777778,6.72222222222222,1.6190476190476188,1.3809523809523807,11.125,15351.0,95.58333333333331,11.125,10.125,53.196428571428555,53.196428571428555,905.291666666667,761.4833333333333,0.024999999999999994,18.279761904761912,-0.1260714285714286,325.5333333333334,289.10833333333335,-1.5641666666666652,-11.300000000000011,0.0,76.0,4.190476190476192,-0.8095238095238095,0.23190476190476206,24.666666666666686,13.476190476190478,-2.3666666666666654,1.213095238095228,0.22095238095238123,122.0,10.0,3.305555555555557,-0.04166666666666696,-80.84444444444445,5.351190476190476,0.9047619047619044,0.4166666666666661,4.266666666666669,12.166666666666664,14.305555555555557,7979.5916666666635,1784.8000000000002,9.38888888888889,11.555555555555557,1030.8416666666665,135.10714285714278,67.90476190476187,756.0,624.0,1030.883333333334,626.2777777777778,-4.0,0.0,0.11111111111111116
