Year,Country,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90,Key,Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Goals,Assists,GoalsandAssists,NonPenaltyGoals,PenaltyGoals,PenaltiesAttemped,YelloCards,RedCards,PrgC,ProgressiveCarries_x,ProgressivePasses,GoalsPer90,AssistPer90,GoalsandAssistPer90,NonPenaltyGoalsPer90,Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_x,PKA,PKsv,Save%.1,Matches,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Cmp,Att,Cmp%,TotDist_x,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%,Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist_y,ProgressivegDist,ProgressiveCarries_y,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Shots,ShotsOnTarget,SoT%,Sh/90,SoT/90,GoalsPerShot,GoalsPerShotOnTarget,AvgShotDistance,GoalsFromPenalties,PKatt_y,Position
2018,Albania,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_ledianmemushaj,2017-2018,SeriaA,benevento,ledian memushaj,al ALB,MF,30.0,17.0,15,1258.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.0,78.0,43.0,0.0,0.0,0.0,0.0,28,18,11,13,4,7,23,24,5,19,10,10,1,40,2.86,34,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,682,79.5,8230,3131,296,325,91.1,173,217,79.7,42,79,53.2,828,19,167,463,212,17,828,40,23,57.5,17,505,3379,1711,37,26,5,23,26,586,43,18,2,11.1,1.29,0.14,0,0,23.4,0,0,MF
2018,Albania,4,4,322,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_beratdjimsiti,2017-2018,SeriaA,benevento,berat djimsiti,al ALB,DF,24.0,30.0,30,2700.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,26.0,90.0,1.0,0.0,0.03,0.03,0.0,32,17,28,4,0,12,18,37,23,14,62,178,1,22,0.73,17,1,1,2,1,0,2,0.07,2,0,0,0,0,0,,,,,,,,,,,,,,,,1435,1348,84,40,0,14,11,44,0,1192,3,16,1423,1618,87.9,27772,10280,470,513,91.6,768,830,92.5,168,233,72.1,1953,293,1162,758,46,22,1953,10,8,80,2,1063,7610,4677,26,13,0,8,2,1247,1,9,2,22.2,0.3,0.07,0,0,9.9,0,0,DF
2018,Albania,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018_elseidhysaj,2017-2018,SeriaA,napoli,elseid hysaj,al ALB,DF,23.0,,35,3125.0,34.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,105.0,144.0,185.0,0.0,0.03,0.03,0.0,64,45,28,30,6,32,24,35,4,31,43,68,4,60,1.73,50,4,3,0,0,3,6,0.17,5,0,1,0,0,0,,,,,,,,,,,,,,,,1412,1254,157,14,2,8,26,143,0,1216,1,27,2341,2705,86.5,32073,9074,1497,1615,92.7,650,762,85.3,101,154,65.6,3033,74,699,1662,696,21,3033,47,24,51.1,23,1693,7501,4342,105,92,9,43,27,1964,185,11,2,18.2,0.32,0.06,0,0,21.7,0,0,DF
2018,Albania,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_thomasstrakosha,2017-2018,SeriaA,lazio,thomas strakosha,al ALB,GK,22.0,38.0,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,13,4,6,0.16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,10,,737,583,154,35,0,2,0,0,0,614,0,1,900,1197,75.2,26962,20384,103,104,99,432,440,98.2,360,639,56.3,1288,1144,1281,7,1,1,1288,1,0,0,1,613,3125,2159,0,1,1,1,0,537,0,0,0,,0,0,,,,0,0,GK
2018,Albania,3,2,118,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2017-2018_mergimmavraj,2017-2018,Bundesliga,hamburger sv,mergim mavraj,al ALB,DF,31.0,,17,1445.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,45,32,32,11,2,22,15,28,12,16,21,91,3,7,0.44,3,1,0,0,1,2,1,0.06,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,736,76.6,11882,4667,171,202,84.7,302,354,85.3,89,162,54.9,927,98,489,425,26,14,927,4,4,100,0,423,2096,1212,4,2,0,5,5,429,0,5,1,20,0.31,0.06,0,0,10.4,0,0,DF
2018,Albania,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_etritberisha,2017-2018,SeriaA,atalanta,etrit berisha,al ALB,GK,28.0,31.0,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0,0,1,5,3,1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1.1,99,64,66.7,13,10,8,8,25.8,2,1,1,50,,319,211,107,29,0,0,0,0,0,176,1,0,578,843,68.6,19441,15082,64,64,100,223,228,97.8,288,546,52.7,892,769,886,6,0,0,892,0,0,,0,392,2431,1714,0,0,0,1,0,286,0,0,0,,0,0,,,,0,0,GK
2019,Albania,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_etritberisha,2018-2019,SeriaA,atalanta,etrit berisha,al ALB,GK,29.0,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,5,3,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,0,,319,211,107,29,0,0,0,0,0,176,1,0,357,480,74.4,10849,8130,60,61,98.4,153,153,100,141,263,53.6,511,431,509,2,0,0,511,0,0,,0,234,1242,858,0,0,0,0,0,173,0,0,0,,0,0,,,,0,0,GK
2019,Albania,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_elseidhysaj,2018-2019,SeriaA,napoli,elseid hysaj,al ALB,DF,24.0,27.0,24,2107.0,23.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,67.0,123.0,98.0,0.0,0.09,0.09,0.0,40,28,22,15,3,25,24,11,3,8,24,51,0,38,1.62,35,1,1,0,0,1,3,0.13,3,0,0,0,0,0,,,,,,,,,,,,,,,,1412,1254,157,14,2,8,26,143,0,1216,1,27,1516,1771,85.6,21542,6427,891,959,92.9,475,543,87.5,70,134,52.2,1980,62,522,1094,380,25,1980,33,18,54.5,15,1219,6369,3615,67,55,8,26,21,1363,98,13,1,7.7,0.56,0.04,0,0,21.1,0,0,DF
2019,Albania,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_freddieveseli,2018-2019,SeriaA,empoli,freddie veseli,al ALB,DF,25.0,31.0,28,2539.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,48.0,86.0,33.0,0.0,0.0,0.0,0.0,34,21,16,15,3,19,8,28,17,11,30,99,1,19,0.67,17,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,211,182,29,5,0,2,4,24,0,170,0,3,1120,1327,84.4,20931,5590,400,433,92.4,592,662,89.4,120,195,61.5,1557,135,605,786,185,8,1557,9,5,55.6,4,829,4861,3125,48,36,1,10,7,965,33,5,0,0,0.18,0,0,,19,0,0,DF
2020,Albania,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_beratdjimsiti,2019-2020,SeriaA,atalanta,berat djimsiti,al ALB,DF,26.0,34.0,32,2783.0,30.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,13.0,93.0,36.0,0.06,0.03,0.1,0.06,42,23,17,23,2,22,17,21,14,7,49,92,0,31,1,28,0,0,3,0,0,1,0.03,0,0,0,1,0,0,,,,,,,,,,,,,,,,1435,1348,84,40,0,14,11,44,0,1192,3,16,1615,1876,86.1,26127,8416,798,862,92.6,612,706,86.7,129,192,67.2,2155,121,832,1119,217,39,2155,11,8,72.7,2,1263,4955,2441,13,28,0,17,7,1384,36,21,5,23.8,0.68,0.16,0.1,0.4,10.3,0,0,DF
