Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,Key
1,1,1,0,0,0,0,1,0,1,0,15,6,2017-2018_ederson
62,43,23,25,14,23,57,45,2,43,25,14,2,2017-2018_kevindebruyne
58,43,35,22,1,19,25,21,10,11,48,129,3,2017-2018_nicolasotamendi
62,35,22,28,12,24,41,38,6,32,47,68,2,2017-2018_fernandinho
47,31,20,21,6,18,13,21,2,19,29,75,2,2017-2018_kylewalker
19,14,7,7,5,3,29,24,0,24,9,9,0,2017-2018_raheemsterling
32,21,11,17,4,9,36,28,5,23,18,7,0,2017-2018_davidsilva
27,21,14,7,6,8,14,22,1,21,13,6,0,2017-2018_leroysane
9,6,2,6,1,2,15,12,1,11,6,3,0,2017-2018_sergioaguero
46,34,21,16,9,18,19,16,0,16,30,42,2,2017-2018_fabiandelph
23,15,6,10,7,3,19,16,0,16,8,6,0,2017-2018_gabrieljesus
20,11,14,5,1,13,6,10,8,2,16,73,1,2017-2018_vincentkompany
15,11,11,4,0,4,7,8,5,3,19,44,0,2017-2018_johnstones
27,18,11,9,7,6,24,17,1,16,10,12,1,2017-2018_bernardosilva
27,15,8,14,5,9,28,14,1,13,16,12,0,2017-2018_ilkaygundogan
43,29,25,12,6,19,16,15,6,9,19,33,0,2017-2018_danilo
8,7,6,2,0,3,5,2,1,1,11,27,0,2017-2018_aymericlaporte
23,16,11,9,3,7,6,3,0,3,6,7,0,2017-2018_oleksandrzinchenko
5,3,5,0,0,1,2,4,3,1,2,24,0,2017-2018_eliaquimmangala
5,4,2,0,3,5,2,5,0,5,8,9,0,2017-2018_benjaminmendy
0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_claudiobravo
2,2,1,0,1,1,0,3,1,2,5,4,0,2017-2018_yayatoure
1,0,1,0,0,0,0,3,0,3,1,0,0,2017-2018_brahimdiaz
1,1,0,1,0,0,1,0,0,0,0,1,0,2017-2018_philfoden
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_lukasnmecha
0,0,0,0,0,0,1,1,0,1,0,9,3,2017-2018_daviddegea
70,42,32,34,4,23,48,50,13,37,64,62,2,2017-2018_nemanjamatic
7,4,1,3,3,0,13,9,2,7,3,22,2,2017-2018_romelulukaku
57,32,21,28,8,16,20,47,6,41,48,80,0,2017-2018_antoniovalencia
40,25,28,12,0,16,12,32,28,4,63,162,1,2017-2018_chrissmalling
53,32,30,17,6,18,29,24,5,19,57,86,1,2017-2018_ashleyyoung
33,23,13,15,5,5,28,16,0,16,21,26,0,2017-2018_paulpogba
25,18,20,5,0,9,11,25,17,8,41,133,2,2017-2018_philjones
18,13,4,12,2,2,22,10,0,10,15,10,1,2017-2018_juanmata
30,21,10,13,7,5,22,18,3,15,9,13,0,2017-2018_jesselingard
15,13,9,2,4,3,9,5,1,4,3,7,0,2017-2018_anthonymartial
