Year,Country,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90,Key
2016,albania ,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,2015-2016_elseidhysaj
2016,albania ,3,3,188,2.1,0,0,0,0,0,0,2,1,0,0,0,0,0,2015-2016_ledianmemushaj
2016,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_burimkukeli
2016,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_mergimmavraj
2016,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_freddieveseli
2016,albania ,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_thomasstrakosha
2016,albania ,3,2,159,1.8,1,2,3,1,0,0,0,0,0.57,1.13,1.7,0.57,1.7,2015-2016_odiseroshi
2016,albania ,2,2,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_ermirlenjani
2016,albania ,3,1,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_naseraliji
2016,albania ,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_migjenbasha
2016,albania ,2,1,111,1.2,2,1,3,2,0,0,0,0,1.62,0.81,2.43,1.62,2.43,2015-2016_armandosadiku
2016,albania ,2,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0,0.82,0.82,0.82,2015-2016_erosgrezda
2016,albania ,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,2015-2016_bekimbalaj
2016,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_etritberisha
2016,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_beratdjimsiti
2016,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_taulantxhaka
2016,albania ,1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_sabienlilaj
2016,albania ,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_azdrenllullaku
2016,albania ,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_amirabrashi
2016,albania ,1,1,70,0.8,0,1,1,0,0,0,0,0,0,1.29,1.29,0,1.29,2015-2016_jahmirhyka
2016,albania ,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_sokolcikalleshi
2016,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_albialla
2016,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_ergyskace
2016,albania ,2,0,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016_arlindajeti
2016,albania ,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_liridonlatifi
2016,albania ,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_kamerqaka
2016,albania ,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_albanhoxha
2016,albania ,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_astritajdarevi?
2016,albania ,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016_andilila
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_ansiagolli
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_valonahmedi
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_ivanballiu
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_keidibare
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_ylberramadani
2016,albania ,0,0,,,,,,,,,,,,,,,,2015-2016_orgesshehi
2017,albania ,10,10,888,9.9,0,3,3,0,0,0,1,0,0,0.3,0.3,0,0.3,2016-2017_elseidhysaj
2017,albania ,8,8,720,8,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017_mergimmavraj
2017,albania ,9,8,692,7.7,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,2016-2017_odiseroshi
2017,albania ,8,8,684,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,2016-2017_etritberisha
2017,albania ,8,7,657,7.3,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,2016-2017_ansiagolli
2017,albania ,9,7,654,7.3,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,2016-2017_ledianmemushaj
2017,albania ,7,6,453,5,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017_burimkukeli
2017,albania ,5,5,376,4.2,0,0,0,0,0,0,0,1,0,0,0,0,0,2016-2017_beratdjimsiti
2017,albania ,5,5,349,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017_azdrenllullaku
2017,albania ,6,4,408,4.5,3,1,4,3,0,0,0,0,0.66,0.22,0.88,0.66,0.88,2016-2017_armandosadiku
2017,albania ,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_arlindajeti
2017,albania ,6,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017_jahmirhyka
2017,albania ,4,4,335,3.7,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017_taulantxhaka
2017,albania ,4,4,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_amirabrashi
2017,albania ,6,3,359,4,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25,2016-2017_migjenbasha
2017,albania ,6,3,353,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017_andilila
2017,albania ,4,3,301,3.3,2,0,2,2,0,0,0,0,0.6,0,0.6,0.6,0.6,2016-2017_bekimbalaj
2017,albania ,4,3,279,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017_freddieveseli
2017,albania ,4,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017_erosgrezda
2017,albania ,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_naseraliji
2017,albania ,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017_ergyskace
2017,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_thomasstrakosha
2017,albania ,3,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017_sokolcikalleshi
2017,albania ,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_hysenmemolla
2017,albania ,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_shkelzengashi
2017,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_ivanballiu
2017,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_ermirlenjani
2017,albania ,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_liridonlatifi
2017,albania ,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_albanhoxha
2017,albania ,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_edgarcani
2017,albania ,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_reymanaj
2017,albania ,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017_valonahmedi
2017,albania ,0,0,,,,,,,,,,,,,,,,2016-2017_albialla
2017,albania ,0,0,,,,,,,,,,,,,,,,2016-2017_eneakolici
2017,albania ,0,0,,,,,,,,,,,,,,,,2016-2017_emanuelendoj
2017,albania ,0,0,,,,,,,,,,,,,,,,2016-2017_orgesshehi
2018,albania ,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_egzonbinaku
2018,albania ,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_ledianmemushaj
2018,albania ,4,4,360,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,2017-2018_taulantxhaka
2018,albania ,4,4,322,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018_beratdjimsiti
2018,albania ,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018_elseidhysaj
