SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
3,0.08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ederson
215,6.3,152,43,8,6,5,1,34,1,30,2,1,1,0,0,2017-2018_kevindebruyne
36,1.09,32,0,0,4,0,0,1,0.03,1,0,0,0,0,0,2017-2018_nicolasotamendi
74,2.31,63,0,2,3,3,3,13,0.41,13,0,0,0,0,0,2017-2018_fernandinho
58,1.87,53,2,1,0,2,0,7,0.23,7,0,0,0,0,0,2017-2018_kylewalker
142,4.94,95,1,21,9,16,0,27,0.94,19,0,2,0,6,0,2017-2018_raheemsterling
141,5.22,123,6,2,3,7,0,20,0.74,19,0,0,1,0,0,2017-2018_davidsilva
124,4.61,87,8,18,4,6,1,28,1.04,18,3,6,1,0,0,2017-2018_leroysane
80,3.67,57,0,14,5,3,1,12,0.55,8,0,3,0,0,1,2017-2018_sergioaguero
40,2.07,36,1,2,0,1,0,6,0.31,5,0,1,0,0,0,2017-2018_fabiandelph
61,3.29,41,1,4,11,2,2,14,0.76,6,1,2,3,2,0,2017-2018_gabrieljesus
13,0.84,13,0,0,0,0,0,1,0.06,1,0,0,0,0,0,2017-2018_vincentkompany
7,0.48,5,0,0,1,1,0,1,0.07,0,0,0,0,1,0,2017-2018_johnstones
61,3.58,55,3,1,0,2,0,5,0.29,4,0,0,0,1,0,2017-2018_bernardosilva
64,3.8,55,4,0,2,1,2,9,0.53,7,1,0,1,0,0,2017-2018_ilkaygundogan
24,1.6,19,0,0,1,1,3,2,0.13,1,0,0,0,0,1,2017-2018_danilo
12,1.34,10,1,0,1,0,0,2,0.22,1,1,0,0,0,0,2017-2018_aymericlaporte
15,2.54,13,2,0,0,0,0,2,0.34,2,0,0,0,0,0,2017-2018_oleksandrzinchenko
2,0.37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_eliaquimmangala
14,3.47,13,0,0,1,0,0,3,0.74,3,0,0,0,0,0,2017-2018_benjaminmendy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_claudiobravo
14,5.34,13,0,1,0,0,0,3,1.14,3,0,0,0,0,0,2017-2018_yayatoure
2,3.27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2017-2018_brahimdiaz
7,12.86,4,0,2,0,1,0,3,5.51,2,0,1,0,0,0,2017-2018_philfoden
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_lukasnmecha
6,0.16,3,3,0,0,0,0,3,0.08,1,2,0,0,0,0,2017-2018_daviddegea
68,1.96,61,1,4,1,1,0,5,0.14,5,0,0,0,0,0,2017-2018_nemanjamatic
80,2.51,61,0,4,14,1,0,18,0.57,13,0,2,3,0,0,2017-2018_romelulukaku
59,1.94,49,1,4,1,4,0,2,0.07,2,0,0,0,0,0,2017-2018_antoniovalencia
7,0.25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_chrissmalling
63,2.32,44,9,4,2,3,1,8,0.29,6,0,0,1,1,0,2017-2018_ashleyyoung
103,4.32,81,1,9,6,4,2,20,0.84,12,0,3,4,1,0,2017-2018_paulpogba
13,0.59,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-2018_philjones
98,4.59,77,11,4,1,5,0,9,0.42,8,0,1,0,0,0,2017-2018_juanmata
69,3.42,45,6,9,4,5,0,10,0.5,6,0,3,1,0,0,2017-2018_jesselingard
76,4.32,58,1,9,4,4,0,13,0.74,11,0,1,0,1,0,2017-2018_anthonymartial
55,2.73,34,4,10,2,3,2,8,0.4,5,1,1,0,1,0,2017-2018_marcusrashford
6,0.42,5,1,0,0,0,0,1,0.07,1,0,0,0,0,0,2017-2018_victorlindelof
28,1.99,26,0,0,0,0,2,3,0.21,3,0,0,0,0,0,2017-2018_anderherrera
49,4.23,31,4,6,5,2,1,9,0.78,4,1,0,3,1,0,2017-2018_alexissanchez
4,0.36,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_ericbailly
57,5.56,40,8,5,1,2,1,6,0.59,3,2,1,0,0,0,2017-2018_henrikhmkhitaryan
19,2.16,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_lukeshaw
6,0.84,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018_marcosrojo
7,0.99,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2017-2018_scottmctominay
13,1.88,12,0,0,0,0,1,1,0.14,0,0,0,0,0,1,2017-2018_marouanefellaini
4,0.81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_matteodarmian
14,3.48,10,2,0,0,1,1,0,0,0,0,0,0,0,0,2017-2018_daleyblind
5,4.13,4,0,0,1,0,0,1,0.83,1,0,0,0,0,0,2017-2018_michaelcarrick
7,5.94,4,0,0,2,1,0,0,0,0,0,0,0,0,0,2017-2018_zlatanibrahimovic
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_sergioromero
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_axeltuanzebe
181,5.06,129,33,6,11,2,0,15,0.42,10,4,0,1,0,0,2017-2018_christianeriksen
4,0.11,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,2017-2018_hugolloris
48,1.35,40,2,0,3,1,2,3,0.08,2,0,0,1,0,0,2017-2018_janvertonghen
125,3.66,71,1,22,21,9,1,14,0.41,9,0,4,1,0,0,2017-2018_harrykane
133,4.05,104,1,5,6,14,3,19,0.58,14,0,0,3,2,0,2017-2018_delealli
40,1.27,37,0,0,2,1,0,4,0.13,4,0,0,0,0,0,2017-2018_ericdier
12,0.43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_davinsonsanchez
104,4.07,69,1,17,12,3,2,20,0.78,14,0,3,2,1,0,2017-2018_sonheung-min
82,3.18,59,16,1,4,2,0,7,0.27,5,1,0,1,0,0,2017-2018_bendavies
72,3.39,59,11,1,0,1,0,9,0.42,7,2,0,0,0,0,2017-2018_kierantrippier
50,2.39,42,0,2,2,2,2,2,0.1,2,0,0,0,0,0,2017-2018_mousadembele
38,2.39,29,1,2,5,1,0,4,0.25,1,0,1,1,1,0,2017-2018_sergeaurier
49,3.15,44,0,3,1,0,1,2,0.13,2,0,0,0,0,0,2017-2018_moussasissoko
20,1.53,16,0,3,1,0,0,0,0,0,0,0,0,0,0,2017-2018_tobyalderweireld
31,3.49,19,2,2,2,5,1,5,0.56,2,0,0,1,2,0,2017-2018_dannyrose
16,1.86,15,0,0,0,0,1,2,0.23,2,0,0,0,0,0,2017-2018_harrywinks
16,1.7,13,0,1,1,1,0,1,0.11,1,0,0,0,0,0,2017-2018_victorwanyama
41,4.37,27,6,2,1,4,1,3,0.32,2,0,0,0,1,0,2017-2018_eriklamela
17,7.29,12,0,1,0,3,1,1,0.43,1,0,0,0,0,0,2017-2018_lucasmoura
7,3.33,6,0,0,0,1,0,2,0.95,2,0,0,0,0,0,2017-2018_kylewalker-peters
5,1.89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_fernandollorente
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_paulogazzaniga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_michelvorm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_vincentjanssen
