GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,100,,2017-2018_ederson
1,0.4,5,4,80,2,0,0,2,100,0,0,0,,,2017-2018_claudiobravo
28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,,2017-2018_daviddegea
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2017-2018_sergioromero
35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,0,,2017-2018_hugolloris
0,0,3,3,100,1,0,0,1,100,0,0,0,,,2017-2018_paulogazzaniga
1,1,4,4,75,0,1,0,0,0,0,0,0,,,2017-2018_michelvorm
14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,33.3,,2017-2018_loriskarius
24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,33.3,,2017-2018_simonmignolet
34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,,2017-2018_thibautcourtois
4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,,,2017-2018_willycaballero
48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,16.7,,2017-2018_petrcech
3,0.71,12,9,75,3,0,1,2,50,0,0,0,,,2017-2018_davidospina
35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,25,,2017-2018_nickpope
4,1.18,12,8,66.7,2,1,1,0,0,0,0,0,,,2017-2018_tomheaton
58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,25,,2017-2018_jordanpickford
47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,66.7,,2017-2018_kasperschmeichel
7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,,2017-2018_benhamer
6,3,13,8,53.8,1,0,1,0,0,0,0,0,,,2017-2018_eldinjakupovic
21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,50,,2017-2018_robelliot
11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,100,,2017-2018_martindubravka
15,1.5,47,34,74.5,1,5,4,2,20,3,3,0,0,,2017-2018_karldarlow
41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,,2017-2018_waynehennessey
14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,,2017-2018_juliansperoni
61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,33.3,,2017-2018_asmirbegovic
29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,,2017-2018_adrian
39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,20,,2017-2018_joehart
40,1.69,100,61,63,7,5,12,5,20.8,3,3,0,0,,2017-2018_heurelhogomes
24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,,2017-2018_orestiskarnezis
54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,66.7,,2017-2018_mathewryan
58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,33.3,,2017-2018_jonaslossl
30,1.5,97,66,69.1,4,7,9,4,20,1,0,1,100,,2017-2018_fraserforster
26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,,2017-2018_alexmccarthy
56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,50,,2017-2018_ukaszfabianski
61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,,2017-2018_jackbutland
7,2.33,15,8,53.3,0,1,2,0,0,0,0,0,,,2017-2018_leegrant
55,1.49,151,98,64.2,6,12,19,10,27,1,1,0,0,,2017-2018_benfoster
1,1,3,2,66.7,0,1,0,0,0,0,0,0,,,2017-2018_boazmyhill
26,0.9,84,58,70.2,23,3,3,12,41.4,4,1,3,75,,2017-2018_svenulreich
2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,,,2017-2018_manuelneuer
0,0,4,4,100,2,0,0,2,100,0,0,0,,,2017-2018_tomstarke
37,1.1,127,89,73.2,18,9,7,12,35.3,6,3,2,40,,2017-2018_ralffahrmann
0,0,2,2,100,0,0,0,1,,0,0,0,,,2017-2018_alexandernubel
48,1.41,147,100,69.4,15,10,9,10,29.4,4,3,1,25,,2017-2018_oliverbaumann
43,1.3,145,102,72.4,15,9,9,12,36.4,3,3,0,0,,2017-2018_romanburki
4,3.96,7,3,42.9,0,1,0,0,0,0,0,0,,,2017-2018_romanweidenfeller
40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,,2017-2018_berndleno
4,4,8,3,50,0,0,1,0,0,1,0,1,100,,2017-2018_ramazanozcan
52,1.58,147,95,68,15,8,10,6,18.2,5,5,0,0,,2017-2018_petergulacsi
1,1,4,3,75,0,0,1,0,0,0,0,0,,,2017-2018_yvonmvogo
36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,33.3,,2017-2018_ron-robertzieler
45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,0,,2017-2018_lukashradecky
42,1.44,151,110,74.8,12,8,10,6,20,4,4,0,0,,2017-2018_yannsommer
10,2.07,23,13,56.5,1,0,3,1,25,0,0,0,,,2017-2018_tobiassippel
44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,0,,2017-2018_runejarstein
2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,,2017-2018_thomaskraft
40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,33.3,,2017-2018_jiripavlenka
42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,50,,2017-2018_marwinhitz
4,2,7,3,57.1,0,1,1,0,0,1,1,0,0,,2017-2018_andreasluthe
45,1.45,158,113,72.8,9,9,13,5,16.1,3,2,0,0,,2017-2018_philipptschauner
9,3,20,11,55,1,0,2,0,0,1,0,0,,,2017-2018_michaelesser
27,1.8,70,44,67.1,3,5,7,2,13.3,4,4,0,0,,2017-2018_robinzentner
