Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
1469,1130,332,17,5,4,50,315,0,1107,7,40,2017-2018_maxaarons
1578,1471,101,89,0,32,4,9,0,1284,6,26,2017-2018_yunisabdelhamid
1701,1678,21,17,1,3,14,4,0,1535,2,29,2017-2018_salisabdulsamed
1660,1617,35,25,7,21,37,8,2,1342,8,49,2017-2018_laurentabergel
7,7,0,0,0,0,1,0,0,3,0,0,2017-2018_charlesabi
137,129,6,0,2,0,3,0,0,84,2,6,2017-2018_dicksonabiama
9,9,0,0,0,0,0,0,0,7,0,0,2017-2018_matthisabline
696,627,67,6,5,1,16,2,0,485,2,20,2017-2018_tammyabraham
226,216,9,5,0,0,0,2,0,191,1,4,2017-2018_luisabram
2043,1955,87,77,1,34,3,1,0,1837,1,6,2017-2018_francescoacerbi
64,61,2,0,0,1,6,2,0,37,1,4,2017-2018_ragnarache
9,9,0,0,0,0,0,0,0,6,0,0,2017-2018_mohamedachi
1963,1624,333,63,3,30,178,230,40,1543,6,30,2017-2018_marcosacuna
472,468,2,0,4,5,8,1,0,304,2,22,2017-2018_cheadams
918,882,32,16,1,0,2,14,0,794,4,15,2017-2018_tyleradams
101,95,5,0,0,0,5,5,0,73,1,3,2017-2018_sargisadamyan
147,138,8,4,0,0,11,0,4,107,1,12,2017-2018_martinadeline
516,494,17,1,6,0,21,11,1,376,5,27,2017-2018_amineadli
1251,1105,138,48,11,30,114,12,68,906,8,25,2017-2018_yacineadli
239,225,13,5,0,1,7,1,7,205,1,5,2017-2018_michelaebischer
152,145,7,0,0,2,8,5,0,114,0,4,2017-2018_felixafena-gyan
792,610,179,6,0,5,45,172,1,547,3,16,2017-2018_martinagirregabiria
82,49,33,7,0,0,0,0,0,62,0,0,2017-2018_julenagirrezabala
996,955,38,30,0,10,5,0,1,836,3,20,2017-2018_lucienagoume
389,375,11,1,0,1,22,4,4,280,3,22,2017-2018_kevinagudelo
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
2204,2127,74,69,2,41,1,5,0,1959,3,12,2017-2018_nayefaguerd
42,40,2,0,0,0,3,0,0,30,0,0,2017-2018_sergioaguero
1728,1445,277,34,4,16,64,242,1,1435,6,27,2017-2018_rubenaguilar
3,2,1,0,0,0,0,1,0,3,0,0,2017-2018_alvaroaguirre
32,32,0,0,0,0,0,0,0,28,0,0,2017-2018_naouirouahamada
858,826,31,23,0,7,6,8,0,766,1,3,2017-2018_anelahmedhodzic
412,404,8,8,1,2,6,0,0,339,0,11,2017-2018_jean-eudesaholou
1567,1531,32,13,1,11,3,19,0,1270,4,9,2017-2018_josephaidoo
755,600,151,9,1,0,34,142,0,535,4,30,2017-2018_olaaina
1025,811,211,10,1,7,96,172,29,763,3,19,2017-2018_rayanait-nouri
892,734,154,6,2,3,17,148,0,627,4,28,2017-2018_kristofferajer
906,880,24,1,5,10,17,2,0,653,2,16,2017-2018_ludovicajorque
2013,1944,66,59,1,26,3,7,0,1819,3,10,2017-2018_manuelakanji
832,672,158,18,1,3,45,140,0,611,2,20,2017-2018_carlosakapo
16,16,0,0,0,0,1,0,0,12,0,1,2017-2018_marleyake
878,836,41,15,1,2,1,26,0,796,1,5,2017-2018_nathanake
55,55,0,0,1,0,6,0,0,45,0,2,2017-2018_iliasakhomach
22,22,0,0,0,0,1,0,0,20,0,0,2017-2018_maghnesakliouche
325,320,4,4,0,3,1,0,0,284,1,4,2017-2018_paulakouokou
106,106,0,0,0,0,0,0,0,89,0,8,2017-2018_jean-danielakpa-akpro
917,742,172,13,0,7,31,159,0,691,3,24,2017-2018_kevinakpoguma
1968,1888,74,34,4,2,40,34,3,1788,6,9,2017-2018_davidalaba
103,90,13,1,0,1,2,12,0,83,0,7,2017-2018_sofianealakouch
572,503,65,29,2,15,64,3,33,398,4,18,2017-2018_tomasalarcon
171,159,12,0,1,1,1,2,0,115,0,9,2017-2018_lucasalario
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
2795,2416,365,96,13,12,121,268,1,2334,14,38,2017-2018_jordialba
6,5,1,0,0,0,0,1,0,5,0,0,2017-2018_josuealbert
1970,1751,211,82,18,9,143,12,104,1626,8,29,2017-2018_luisalberto
1560,1502,57,55,0,12,3,1,0,1339,1,12,2017-2018_raulalbiol
558,452,101,15,2,3,78,48,37,347,5,27,2017-2018_marcalbrighton
175,151,22,0,2,2,1,2,0,123,2,5,2017-2018_pacoalcacer
1508,1488,18,10,4,17,4,4,1,1340,2,13,2017-2018_thiagoalcantara
667,623,43,34,3,16,23,2,7,556,1,13,2017-2018_rubenalcaraz
961,899,57,52,0,41,4,2,0,580,5,6,2017-2018_omaralderete
329,319,9,3,0,2,97,6,0,193,1,18,2017-2018_ivanalejo
391,293,98,28,0,1,0,0,0,287,0,0,2017-2018_doganalemdar
869,827,39,24,2,10,44,2,11,683,3,25,2017-2018_carlesalena
2757,2204,548,93,17,69,273,324,131,2039,5,34,2017-2018_trentalexander-arnold
314,304,9,2,1,0,23,3,0,220,1,12,2017-2018_mohamedalicho
1388,1154,234,62,0,3,0,0,0,1214,0,0,2017-2018_alisson
982,912,66,19,1,2,10,10,0,778,4,26,2017-2018_allan
545,524,16,3,1,5,34,4,9,416,5,18,2017-2018_jimallevinah
228,210,17,4,1,1,5,4,0,177,1,6,2017-2018_delealli
157,140,14,3,3,1,1,5,1,114,3,4,2017-2018_delealli
511,500,8,3,0,2,20,3,0,402,3,19,2017-2018_miguelalmiron
1486,1190,293,27,2,8,149,199,67,1142,3,39,2017-2018_marcosalonso
799,712,83,12,0,3,27,71,0,531,4,11,2017-2018_giorgioaltare
3,3,0,0,0,0,0,0,0,1,0,0,2017-2018_hugoalvarez
1019,966,51,50,0,10,3,1,0,832,2,9,2017-2018_yerayalvarez
1089,925,159,32,6,14,75,93,34,915,5,11,2017-2018_danialves
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
233,230,3,2,1,0,0,1,0,204,0,4,2017-2018_stevenalzate
439,430,9,9,0,5,0,0,0,384,0,2,2017-2018_ibrahimamadou
39,31,8,0,0,0,4,8,0,26,0,1,2017-2018_emmanuelamankwaaakurugu
1546,1516,28,19,0,2,0,9,0,1399,2,16,2017-2018_danielamartey
202,196,5,0,2,0,7,3,1,159,1,9,2017-2018_amath
319,272,46,4,0,2,6,42,0,269,1,5,2017-2018_jordanamavi
86,69,17,2,0,2,2,15,0,74,0,1,2017-2018_jordanamavi
29,25,4,4,0,0,0,0,0,20,0,0,2017-2018_wisdomamey
1133,862,267,18,1,1,24,249,0,887,4,35,2017-2018_kelvinamian
299,255,41,13,2,0,20,2,12,222,3,3,2017-2018_nadiemamiri
222,209,12,2,0,2,8,3,6,183,1,5,2017-2018_nadiemamiri
1165,1037,123,41,4,10,20,80,0,867,5,26,2017-2018_ethanampadu
716,685,31,31,1,9,6,0,0,645,0,8,2017-2018_sofyanamrabat
2351,2252,95,86,3,32,8,5,0,1911,4,11,2017-2018_joachimandersen
1436,1342,90,6,5,6,86,32,13,1118,4,36,2017-2018_felipeanderson
234,227,7,0,0,1,9,1,0,147,0,10,2017-2018_sebastianandersson
