Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
1156,961,1144,14,0,0,1156,1,1,100,0,641,3008,1941,0,0,0,3,1,624,0,2017-2018_ederson
3348,20,246,1565,1582,83,3348,87,63,72.4,23,2150,12041,7119,183,174,30,64,60,2615,259,2017-2018_kevindebruyne
3407,154,1127,2122,167,38,3407,7,5,71.4,2,2428,15364,9940,92,60,0,19,1,2626,8,2017-2018_nicolasotamendi
3319,89,580,2219,537,42,3319,25,22,88,3,2088,10091,6419,80,78,5,35,20,2567,38,2017-2018_fernandinho
2929,65,570,1628,757,36,2929,38,26,68.4,12,1704,8779,4864,105,78,10,32,18,2065,190,2017-2018_kylewalker
1540,13,76,507,978,230,1539,119,64,53.8,55,1089,6306,3319,116,70,76,65,59,1319,410,2017-2018_raheemsterling
2718,22,190,1370,1176,140,2718,49,38,77.6,11,1872,11148,5448,158,133,34,32,29,2339,247,2017-2018_davidsilva
1504,15,104,424,1002,177,1504,132,85,64.4,47,1036,6623,3086,102,48,64,81,64,1205,416,2017-2018_leroysane
894,6,41,308,561,152,890,84,56,66.7,28,610,4166,1866,89,48,36,56,43,747,214,2017-2018_sergioaguero
1972,35,408,1132,451,3,1972,32,30,93.8,2,1280,5627,2974,53,54,1,20,10,1415,63,2017-2018_fabiandelph
790,3,47,312,439,121,788,37,24,64.9,13,443,1865,800,28,21,14,43,26,607,181,2017-2018_gabrieljesus
1568,101,609,915,51,11,1568,3,3,100,0,970,5121,3284,31,14,1,6,2,1218,3,2017-2018_vincentkompany
1358,83,577,750,36,16,1358,4,4,100,0,928,4295,2545,11,8,0,6,5,1103,7,2017-2018_johnstones
1157,9,79,444,650,95,1157,41,29,70.7,12,817,5218,2573,80,41,32,28,26,939,218,2017-2018_bernardosilva
1577,24,170,980,443,50,1576,35,26,74.3,9,1019,5020,2693,61,62,11,34,20,1324,83,2017-2018_ilkaygundogan
1422,32,283,799,345,29,1422,13,8,61.5,5,834,3547,2087,40,35,6,14,4,1038,74,2017-2018_danilo
877,29,270,566,44,1,877,3,3,100,0,549,2801,1930,15,6,0,2,0,671,5,2017-2018_aymericlaporte
776,10,97,483,197,2,776,3,3,100,0,463,1467,843,9,10,1,2,2,610,49,2017-2018_oleksandrzinchenko
392,25,176,211,6,4,392,2,2,100,0,264,1558,999,5,2,0,1,5,281,1,2017-2018_eliaquimmangala
312,6,42,127,144,7,312,8,3,37.5,5,173,814,554,21,9,2,3,6,199,62,2017-2018_benjaminmendy
72,60,72,0,0,0,72,0,0,,0,52,258,175,0,0,0,0,0,37,0,2017-2018_claudiobravo
435,4,52,296,90,5,435,5,4,80,1,309,1601,1179,20,20,3,1,1,389,4,2017-2018_yayatoure
47,0,6,11,31,9,47,1,1,100,0,35,172,83,3,0,3,4,2,35,15,2017-2018_brahimdiaz
53,1,4,21,28,4,53,3,3,100,0,26,185,73,6,2,2,2,0,43,3,2017-2018_philfoden
5,0,0,1,4,0,5,0,0,,0,5,24,10,0,0,0,0,2,7,0,2017-2018_lukasnmecha
1158,1048,1156,2,0,0,1158,1,1,100,0,450,3332,2520,0,0,0,0,0,427,0,2017-2018_daviddegea
2970,115,683,1858,457,27,2970,65,54,83.1,11,1701,9838,5479,74,64,7,37,31,2052,23,2017-2018_nemanjamatic
1032,26,45,424,571,151,1031,57,35,61.4,22,532,2998,1225,57,32,35,76,48,865,216,2017-2018_romelulukaku
2256,122,542,1021,710,53,2256,48,29,60.4,19,1153,6257,3710,103,65,23,20,19,1410,152,2017-2018_antoniovalencia
