Shots,ShotsOnTarget,SoT%,Sh/90,SoT/90,GoalsPerShot,GoalsPerShotOnTarget,AvgShotDistance,GoalsFromPenalties,PKatt,Key
0,0,,0,0,,,,0,0,2017-2018_ederson
93,39,41.9,2.72,1.14,0.09,0.21,24.3,0,0,2017-2018_kevindebruyne
32,10,31.3,0.97,0.3,0.13,0.4,16.2,0,0,2017-2018_nicolasotamendi
47,19,40.4,1.47,0.59,0.11,0.26,23.1,0,0,2017-2018_fernandinho
13,1,7.7,0.42,0.03,0,0,24.4,0,0,2017-2018_kylewalker
86,33,38.4,2.99,1.15,0.2,0.52,14.9,1,1,2017-2018_raheemsterling
54,20,37,2,0.74,0.17,0.45,15.9,0,0,2017-2018_davidsilva
57,19,33.3,2.12,0.71,0.18,0.53,17,0,0,2017-2018_leroysane
90,38,42.2,4.13,1.74,0.19,0.45,13.9,4,4,2017-2018_sergioaguero
10,3,30,0.52,0.16,0.1,0.33,28.9,0,0,2017-2018_fabiandelph
54,30,55.6,2.91,1.62,0.24,0.43,12,0,2,2017-2018_gabrieljesus
9,2,22.2,0.58,0.13,0.11,0.5,9.8,0,0,2017-2018_vincentkompany
11,4,36.4,0.76,0.28,0,0,12,0,0,2017-2018_johnstones
25,14,56,1.47,0.82,0.24,0.43,14,0,0,2017-2018_bernardosilva
34,10,29.4,2.02,0.59,0.09,0.3,19.6,1,1,2017-2018_ilkaygundogan
19,7,36.8,1.27,0.47,0.16,0.43,23.4,0,0,2017-2018_danilo
3,0,0,0.33,0,0,,26.5,0,0,2017-2018_aymericlaporte
5,2,40,0.85,0.34,0,0,31,0,0,2017-2018_oleksandrzinchenko
1,0,0,0.18,0,0,,11.2,0,0,2017-2018_eliaquimmangala
5,1,20,1.24,0.25,0,0,23.7,0,0,2017-2018_benjaminmendy
0,0,,0,0,,,,0,0,2017-2018_claudiobravo
5,1,20,1.91,0.38,0,0,23.5,0,0,2017-2018_yayatoure
3,1,33.3,4.91,1.64,0,0,13.8,0,0,2017-2018_brahimdiaz
0,0,,0,0,,,,0,0,2017-2018_philfoden
0,0,,0,0,,,,0,0,2017-2018_lukasnmecha
0,0,,0,0,,,,0,0,2017-2018_daviddegea
18,2,11.1,0.52,0.06,0.06,0.5,27,0,0,2017-2018_nemanjamatic
85,41,48.2,2.67,1.29,0.19,0.39,13.1,0,1,2017-2018_romelulukaku
16,3,18.8,0.53,0.1,0.19,1,21.4,0,0,2017-2018_antoniovalencia
13,6,46.2,0.46,0.21,0.31,0.67,8.5,0,0,2017-2018_chrissmalling
18,4,22.2,0.66,0.15,0.11,0.5,21.9,0,0,2017-2018_ashleyyoung
76,18,23.7,3.18,0.75,0.08,0.33,22.2,0,0,2017-2018_paulpogba
2,0,0,0.09,0,0,,18.8,0,0,2017-2018_philjones
28,10,35.7,1.31,0.47,0.11,0.3,17.6,0,0,2017-2018_juanmata
56,23,41.1,2.77,1.14,0.14,0.35,17.8,0,0,2017-2018_jesselingard
48,15,31.3,2.73,0.85,0.17,0.53,17.3,1,1,2017-2018_anthonymartial
61,20,32.8,3.03,0.99,0.11,0.35,19.4,0,0,2017-2018_marcusrashford
1,0,0,0.07,0,0,,34.4,0,0,2017-2018_victorlindelof
12,1,8.3,0.85,0.07,0,0,25.2,0,0,2017-2018_anderherrera
18,6,33.3,1.55,0.52,0.11,0.33,16.8,0,1,2017-2018_alexissanchez
3,1,33.3,0.27,0.09,0.33,1,4.9,0,0,2017-2018_ericbailly
15,5,33.3,1.46,0.49,0.07,0.2,21.6,0,0,2017-2018_henrikhmkhitaryan
12,5,41.7,1.37,0.57,0,0,21.4,0,0,2017-2018_lukeshaw
5,1,20,0.7,0.14,0,0,27.9,0,0,2017-2018_marcosrojo
1,0,0,0.14,0,0,,25.3,0,0,2017-2018_scottmctominay
10,7,70,1.32,0.92,0.4,0.57,8.5,0,0,2017-2018_marouanefellaini
2,0,0,0.41,0,0,,31.7,0,0,2017-2018_matteodarmian
3,0,0,0.75,0,0,,21.2,0,0,2017-2018_daleyblind
2,1,50,1.65,0.83,0,0,14.7,0,0,2017-2018_michaelcarrick
4,1,25,3.4,0.85,0,0,16.7,0,0,2017-2018_zlatanibrahimovic
0,0,,0,0,,,,0,0,2017-2018_sergioromero
0,0,,0,0,,,,0,0,2017-2018_axeltuanzebe
97,39,40.2,2.71,1.09,0.1,0.26,23,0,0,2017-2018_christianeriksen
0,0,,0,0,,,,0,0,2017-2018_hugolloris
24,3,12.5,0.67,0.08,0,0,21.9,0,0,2017-2018_janvertonghen
181,72,39.8,5.3,2.11,0.15,0.39,16.9,2,3,2017-2018_harrykane
69,17,24.6,2.1,0.52,0.13,0.53,15.9,0,0,2017-2018_delealli
32,7,21.9,1.02,0.22,0,0,17.5,0,0,2017-2018_ericdier
9,1,11.1,0.32,0.04,0,0,13.3,0,0,2017-2018_davinsonsanchez
75,33,44,2.91,1.28,0.16,0.36,16.3,0,0,2017-2018_sonheung-min
18,6,33.3,0.7,0.23,0.11,0.33,21.2,0,0,2017-2018_bendavies
7,1,14.3,0.33,0.05,0,0,24.4,0,0,2017-2018_kierantrippier
11,3,27.3,0.53,0.14,0,0,24.7,0,0,2017-2018_mousadembele
15,5,33.3,0.94,0.31,0.13,0.4,21.2,0,0,2017-2018_sergeaurier
19,7,36.8,1.23,0.45,0.05,0.14,15.8,0,0,2017-2018_moussasissoko
10,1,10,0.76,0.08,0,0,20.7,0,0,2017-2018_tobyalderweireld
7,1,14.3,0.79,0.11,0,0,18.7,0,0,2017-2018_dannyrose
3,0,0,0.35,0,0,,29.6,0,0,2017-2018_harrywinks
12,3,25,1.28,0.32,0.08,0.33,23.1,0,0,2017-2018_victorwanyama
20,6,30,2.14,0.64,0.1,0.33,14.2,0,0,2017-2018_eriklamela
5,2,40,2.14,0.86,0,0,24.8,0,0,2017-2018_lucasmoura
0,0,,0,0,,,,0,0,2017-2018_kylewalker-peters
6,2,33.3,2.27,0.76,0.17,0.5,12.5,0,0,2017-2018_fernandollorente
0,0,,0,0,,,,0,0,2017-2018_paulogazzaniga
0,0,,0,0,,,,0,0,2017-2018_michelvorm
0,0,,0,0,,,,0,0,2017-2018_vincentjanssen
0,0,,0,0,,,,0,0,2017-2018_georges-kevinnkoudou
142,64,45.1,4.4,1.98,0.22,0.48,15.3,1,2,2017-2018_mohamedsalah
83,36,43.4,2.7,1.17,0.17,0.39,17.1,1,1,2017-2018_robertofirmino
70,26,37.1,2.88,1.07,0.14,0.38,15.4,0,0,2017-2018_sadiomane
38,9,23.7,1.43,0.34,0.03,0.11,19,0,0,2017-2018_georginiowijnaldum
15,3,20,0.62,0.12,0.07,0.33,23.8,0,0,2017-2018_jordanhenderson
14,4,28.6,0.59,0.17,0.14,0.5,9.3,0,0,2017-2018_dejanlovren
27,8,29.6,1.16,0.34,0.11,0.38,21.2,0,0,2017-2018_emrecan
11,2,18.2,0.5,0.09,0.09,0.5,11,0,0,2017-2018_joelmatip
12,2,16.7,0.56,0.09,0.08,0.5,19.3,0,0,2017-2018_andrewrobertson
5,0,0,0.24,0,0,,21.9,0,0,2017-2018_joegomez
0,0,,0,0,,,,0,0,2017-2018_loriskarius
0,0,,0,0,,,,0,0,2017-2018_simonmignolet
12,5,41.7,0.69,0.29,0.08,0.2,21.5,0,0,2017-2018_trentalexander-arnold
21,5,23.8,1.06,0.25,0,0,19.9,0,0,2017-2018_jamesmilner
1,1,100,0.06,0.06,1,1,0.9,0,0,2017-2018_ragnarklavan
38,15,39.5,2.29,0.9,0.08,0.2,21.1,0,0,2017-2018_alexoxlade-chamberlain
12,2,16.7,0.85,0.14,0,0,22.9,0,0,2017-2018_albertomoreno
16,6,37.5,1.14,0.43,0,0,15.7,0,0,2017-2018_virgilvandijk
54,17,31.5,4.38,1.38,0.13,0.41,24,0,0,2017-2018_philippecoutinho
22,7,31.8,3.32,1.06,0.05,0.14,14.7,0,0,2017-2018_dominicsolanke
21,8,38.1,4.39,1.67,0.1,0.25,17.5,0,0,2017-2018_danielsturridge
8,5,62.5,2.7,1.69,0.13,0.2,11.8,0,0,2017-2018_dannyings
2,1,50,1.03,0.52,0,0,11.8,0,0,2017-2018_nathanielclyne
11,0,0,3.21,0,0,,18.9,0,0,2017-2018_adamlallana
0,0,,0,0,,,,0,0,2017-2018_markogrujic
0,0,,0,0,,,,0,0,2017-2018_divockorigi
0,0,,0,0,,,,0,0,2017-2018_benwoodburn
13,3,23.1,0.35,0.08,0.15,0.67,19.4,0,0,2017-2018_cesarazpilicueta
0,0,,0,0,,,,0,0,2017-2018_thibautcourtois
25,5,20,0.75,0.15,0.04,0.2,25.7,0,0,2017-2018_ngolokante
65,22,33.8,2.05,0.69,0.11,0.32,17,0,0,2017-2018_marcosalonso
69,34,49.3,2.56,1.26,0.14,0.29,17.4,2,2,2017-2018_edenhazard
15,4,26.7,0.58,0.15,0.13,0.5,16.5,0,0,2017-2018_antoniorudiger
38,10,26.3,1.48,0.39,0.05,0.2,19.2,0,0,2017-2018_cescfabregas
35,11,31.4,1.49,0.47,0.09,0.27,16.8,0,0,2017-2018_victormoses
40,8,20,1.69,0.34,0.05,0.25,18.5,0,0,2017-2018_tiemouebakayoko
10,3,30,0.43,0.13,0,0,19.6,0,0,2017-2018_garycahill
79,34,43,3.45,1.48,0.14,0.32,13.6,0,0,2017-2018_alvaromorata
12,1,8.3,0.52,0.04,0,0,10.9,0,0,2017-2018_andreaschristensen
53,23,43.4,2.52,1.1,0.09,0.22,19.8,1,1,2017-2018_willian
56,20,35.7,3.31,1.18,0.07,0.2,21.5,0,0,2017-2018_pedro
25,9,36,2.05,0.74,0.04,0.11,20.3,0,0,2017-2018_davidezappacosta
11,4,36.4,1.18,0.43,0.09,0.25,22.7,0,0,2017-2018_davidluiz
30,8,26.7,4.4,1.17,0.1,0.38,11.5,0,0,2017-2018_oliviergiroud
6,2,33.3,1.02,0.34,0.17,0.5,22.7,0,0,2017-2018_dannydrinkwater
13,5,38.5,3.25,1.25,0.15,0.4,18,0,0,2017-2018_michybatshuayi
2,2,100,0.64,0.64,0,0,18.2,0,0,2017-2018_emersonpalmieri
0,0,,0,0,,,,0,0,2017-2018_willycaballero
2,1,50,1.4,0.7,0,0,13.1,0,0,2017-2018_rossbarkley
0,0,,0,0,,,,0,0,2017-2018_jeremieboga
2,0,0,4.86,0,0,,20.6,0,0,2017-2018_charlymusondajr.
2,1,50,6.21,3.1,0,0,19.9,0,0,2017-2018_callumhudson-odoi
0,0,,0,0,,,,0,0,2017-2018_ethanampadu
66,17,25.8,1.82,0.47,0.02,0.06,27.7,0,0,2017-2018_granitxhaka
29,8,27.6,0.86,0.24,0.07,0.25,17.3,0,0,2017-2018_hectorbellerin
0,0,,0,0,,,,0,0,2017-2018_petrcech
22,8,36.4,0.88,0.32,0.23,0.63,17.8,0,0,2017-2018_nachomonreal
66,32,48.5,2.7,1.31,0.18,0.38,13.6,2,2,2017-2018_alexandrelacazette
13,5,38.5,0.51,0.2,0.23,0.6,13,0,0,2017-2018_shkodranmustafi
9,2,22.2,0.36,0.08,0.22,1,9.4,0,0,2017-2018_laurentkoscielny
21,6,28.6,0.88,0.25,0.1,0.33,13.2,0,0,2017-2018_seadkolasinac
39,13,33.3,1.62,0.54,0.1,0.31,18.7,0,0,2017-2018_mesutozil
45,22,48.9,2.21,1.08,0.07,0.14,18.4,0,0,2017-2018_alexiwobi
56,25,44.6,2.73,1.22,0.13,0.28,16.6,0,0,2017-2018_aaronramsey
68,24,35.3,4.07,1.44,0.09,0.25,19.9,1,1,2017-2018_alexissanchez
32,13,40.6,2.41,0.98,0.16,0.38,14.5,0,0,2017-2018_dannywelbeck
15,5,33.3,1.13,0.38,0.07,0.2,19,0,0,2017-2018_jackwilshere
29,17,58.6,2.47,1.45,0.31,0.53,14.6,1,2,2017-2018_pierre-emerickaubameyang
8,1,12.5,0.83,0.1,0,0,24.5,0,0,2017-2018_mohamedelneny
10,3,30,1.04,0.31,0,0,13.8,0,0,2017-2018_calumchambers
1,0,0,0.11,0,0,,10,0,0,2017-2018_robholding
21,11,52.4,2.38,1.25,0.1,0.18,18.5,0,0,2017-2018_henrikhmkhitaryan
5,0,0,0.49,0,0,,20.9,0,0,2017-2018_ainsleymaitland-niles
0,0,,0,0,,,,0,0,2017-2018_davidospina
2,2,100,0.49,0.49,0.5,0.5,10.4,0,0,2017-2018_permertesacker
9,2,22.2,3.36,0.75,0,0,25.3,0,0,2017-2018_alexoxlade-chamberlain
0,0,,0,0,,,,0,0,2017-2018_konstantinosmavropanos
2,0,0,1.24,0,0,,18.3,0,0,2017-2018_reissnelson
18,6,33.3,4.18,1.39,0.22,0.67,10.6,0,0,2017-2018_oliviergiroud
1,0,0,0.53,0,0,,20.9,0,0,2017-2018_franciscoquelin
1,0,0,1.1,0,0,,13,0,0,2017-2018_joewillock
0,0,,0,0,,,,0,0,2017-2018_theowalcott
1,1,100,4.5,4.5,0,0,10.1,0,0,2017-2018_eddienketiah
15,5,33.3,0.39,0.13,0.13,0.4,17.6,0,0,2017-2018_jackcork
0,0,,0,0,,,,0,0,2017-2018_nickpope
54,18,33.3,1.72,0.57,0.04,0.11,21.7,0,0,2017-2018_johannberggumundsson
18,4,22.2,0.58,0.13,0,0,9.9,0,0,2017-2018_jamestarkowski
25,7,28,0.86,0.24,0,0,12.4,0,0,2017-2018_benmee
25,6,24,0.97,0.23,0.08,0.33,19.7,0,0,2017-2018_jeffhendrick
6,1,16.7,0.22,0.04,0.17,1,17.2,0,0,2017-2018_stephenward
4,1,25,0.16,0.04,0,0,25.9,0,0,2017-2018_matthewlowton
19,7,36.8,0.86,0.32,0.05,0.14,25.9,0,0,2017-2018_stevendefour
60,22,36.7,2.49,0.91,0.15,0.41,15.4,0,0,2017-2018_ashleybarnes
39,24,61.5,2.16,1.33,0.26,0.42,12.3,0,0,2017-2018_chriswood
10,2,20,0.62,0.12,0.1,0.5,7.6,0,0,2017-2018_kevinlong
18,7,38.9,1.22,0.47,0.11,0.29,18.4,0,0,2017-2018_scottarfield
24,6,25,1.69,0.42,0.04,0.17,22.8,0,0,2017-2018_robbiebrady
2,2,100,0.16,0.16,0,0,32.1,0,0,2017-2018_philbardsley
10,4,40,0.81,0.32,0,0,16.8,0,0,2017-2018_aaronlennon
8,1,12.5,0.65,0.08,0,0,19.7,0,0,2017-2018_ashleywestwood
0,0,,0,0,,,,0,0,2017-2018_charlietaylor
33,8,24.2,2.98,0.72,0.12,0.5,12.8,0,0,2017-2018_samvokes
0,0,,0,0,,,,0,0,2017-2018_tomheaton
4,0,0,1.58,0,0,,22.3,0,0,2017-2018_georges-kevinnkoudou
3,1,33.3,4.91,1.64,0,0,16.2,0,0,2017-2018_nahkiwells
1,0,0,2.31,0,0,,8.7,0,0,2017-2018_jonathanwalters
,0,,,0,,,,0,0,2017-2018_aidenoneill
1,0,0,0.03,0,0,,13.5,0,0,2017-2018_jordanpickford
23,7,30.4,0.75,0.23,0.09,0.29,25.3,0,0,2017-2018_idrissaganagueye
15,1,6.7,0.53,0.04,0,0,11.5,0,0,2017-2018_michaelkeane
39,11,28.2,1.55,0.44,0.18,0.64,25,3,6,2017-2018_waynerooney
