Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23,35.5,3,0.08,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,26,34.1,215,6.3,152,43,8,6,5,1,34,1,30,2,1,1,0,0
2017-2018,EPL,Manchester City,Nicolás Otamendi,ar ARG,DF,29,33,36,1.09,32,0,0,4,0,0,1,0.03,1,0,0,0,0,0
2017-2018,EPL,Manchester City,Fernandinho,br BRA,MF,32,32,74,2.31,63,0,2,3,3,3,13,0.41,13,0,0,0,0,0
2017-2018,EPL,Manchester City,Kyle Walker,eng ENG,DF,27,30.9,58,1.87,53,2,1,0,2,0,7,0.23,7,0,0,0,0,0
2017-2018,EPL,Manchester City,Raheem Sterling,eng ENG,FW,22,28.7,142,4.94,95,1,21,9,16,0,27,0.94,19,0,2,0,6,0
2017-2018,EPL,Manchester City,David Silva,es ESP,MF,31,27,141,5.22,123,6,2,3,7,0,20,0.74,19,0,0,1,0,0
2017-2018,EPL,Manchester City,Leroy Sané,de GER,FW,21,26.9,124,4.61,87,8,18,4,6,1,28,1.04,18,3,6,1,0,0
2017-2018,EPL,Manchester City,Sergio Agüero,ar ARG,FW,29,21.8,80,3.67,57,0,14,5,3,1,12,0.55,8,0,3,0,0,1
2017-2018,EPL,Manchester City,Fabian Delph,eng ENG,DF,27,19.3,40,2.07,36,1,2,0,1,0,6,0.31,5,0,1,0,0,0
2017-2018,EPL,Manchester City,Gabriel Jesus,br BRA,FW,20,18.5,61,3.29,41,1,4,11,2,2,14,0.76,6,1,2,3,2,0
2017-2018,EPL,Manchester City,Vincent Kompany,be BEL,DF,31,15.5,13,0.84,13,0,0,0,0,0,1,0.06,1,0,0,0,0,0
2017-2018,EPL,Manchester City,John Stones,eng ENG,DF,23,14.5,7,0.48,5,0,0,1,1,0,1,0.07,0,0,0,0,1,0
2017-2018,EPL,Manchester City,Bernardo Silva,pt POR,"FW,MF",22,17,61,3.58,55,3,1,0,2,0,5,0.29,4,0,0,0,1,0
