Season,League,Team,Player,Nation,Pos,Age,90s,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked
2017-2018',EPL,Norwich City,Max Aarons,eng ENG,DF,21,32,1469,1130,332,17,5,4,50,315,0,1107,7,40
2017-2018',Ligue1,Reims,Yunis Abdelhamid,ma MAR,DF,33,33.1,1578,1471,101,89,0,32,4,9,0,1284,6,26
2017-2018',Ligue1,Clermont Foot,Salis Abdul Samed,gh GHA,MF,21,27.4,1701,1678,21,17,1,3,14,4,0,1535,2,29
2017-2018',Ligue1,Lorient,Laurent Abergel,fr FRA,MF,28,32.8,1660,1617,35,25,7,21,37,8,2,1342,8,49
2017-2018',Ligue1,Saint-Étienne,Charles Abi,fr FRA,FW,21,0.5,7,7,0,0,0,0,1,0,0,3,0,0
2017-2018',Bundesliga,Greuther Fürth,Dickson Abiama,ng NGA,FW,22,8.1,137,129,6,0,2,0,3,0,0,84,2,6
2017-2018',Ligue1,Rennes,Matthis Abline,fr FRA,FW,18,1.1,9,9,0,0,0,0,0,0,0,7,0,0
2017-2018',SerieA,Roma,Tammy Abraham,eng ENG,FW,23,34.3,696,627,67,6,5,1,16,2,0,485,2,20
2017-2018',LaLiga,Granada,Luis Abram,pe PER,DF,25,6.2,226,216,9,5,0,0,0,2,0,191,1,4
2017-2018',SerieA,Lazio,Francesco Acerbi,it ITA,DF,33,28.2,2043,1955,87,77,1,34,3,1,0,1837,1,6
2017-2018',Bundesliga,Eint Frankfurt,Ragnar Ache,de GER,"MF,FW",23,2.9,64,61,2,0,0,1,6,2,0,37,1,4
2017-2018',Ligue1,Nantes,Mohamed Achi,fr FRA,MF,19,0.1,9,9,0,0,0,0,0,0,0,6,0,0
2017-2018',LaLiga,Sevilla,Marcos Acuña,ar ARG,DF,29,25.1,1963,1624,333,63,3,30,178,230,40,1543,6,30
2017-2018',EPL,Southampton,Che Adams,sct SCO,FW,25,22.7,472,468,2,0,4,5,8,1,0,304,2,22
2017-2018',Bundesliga,RB Leipzig,Tyler Adams,us USA,MF,22,15,918,882,32,16,1,0,2,14,0,794,4,15
2017-2018',Bundesliga,Hoffenheim,Sargis Adamyan,am ARM,"FW,MF",28,3.7,101,95,5,0,0,0,5,5,0,73,1,3
2017-2018',Ligue1,Reims,Martin Adeline,fr FRA,"MF,FW",17,3.9,147,138,8,4,0,0,11,0,4,107,1,12
2017-2018',Bundesliga,Leverkusen,Amine Adli,ma MAR,"FW,MF",21,14,516,494,17,1,6,0,21,11,1,376,5,27
2017-2018',Ligue1,Bordeaux,Yacine Adli,fr FRA,"MF,FW",21,25.1,1251,1105,138,48,11,30,114,12,68,906,8,25
2017-2018',SerieA,Bologna,Michel Aebischer,ch SUI,MF,24,4.9,239,225,13,5,0,1,7,1,7,205,1,5
