Country,Season,Age,MP,Starts,90s,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90,Goals,Assists,GoalsandAssists,NonPenaltyGoals,PenaltyGoals,PenaltiesAttemped,YelloCards,RedCards,PrgC,ProgressiveCarries_x,ProgressivePasses,GoalsPer90,AssistPer90,GoalsandAssistPer90,NonPenaltyGoalsPer90,Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_x,PKA,PKsv,Save%.1,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Cmp,Att,Cmp%,TotDist_x,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%,Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist_y,ProgressivegDist,ProgressiveCarries_y,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Shots,ShotsOnTarget,SoT%,Sh/90,SoT/90,GoalsPerShot,GoalsPerShotOnTarget,AvgShotDistance,GoalsFromPenalties,PKatt_y
Albania,2017-2018,28.714,31.357,30.69,30.49,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0.0,0.0,0.0,3.0,0.667,45.0,94.333,62.0,0.0,0.02,0.02,0.0,47.0,31.333,29.333,15.0,4.0,22.0,23.0,33.333,13.0,20.333,42.0,112.333,3.5,40.0,2.86,34.0,3.0,1.333,3.0,0.667,1.667,3.0,0.1,41.5,1.195,129.0,87.5,70.75,17.0,9.5,8.0,9.5,27.35,6.0,5.0,1.0,30.0,1301.0,130.5,32.0,1.0,11.0,18.5,93.5,0.0,1204.0,2.0,21.5,1442.667,1686.333,83.667,23909.0,17733.0,712.667,776.667,99.5,573.333,648.667,98.0,324.0,592.5,64.2,1971.0,956.5,1083.5,948.333,256.0,19.0,1971.0,40.0,23.0,77.033,17.0,1059.667,5735.667,3410.333,45.0,35.667,5.0,23.0,26.0,1213.333,62.0,18.0,2.0,20.133,1.29,0.14,0.0,0.0,23.4,0.0,0.0
Andorra,2017-2018,20.0,0.0,0.0,4.7,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,25.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,9.0,5.0,1.0,4.0,5.0,4.0,0.0,9.0,1.9,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,328.0,90.5,4499.0,1145.0,151.0,165.0,91.5,113.0,123.0,91.9,19.0,20.0,95.0,360.0,8.0,92.0,222.0,48.0,2.0,360.0,2.0,1.0,50.0,1.0,249.0,1321.0,672.0,9.0,6.0,0.0,4.0,4.0,286.0,7.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
Armenia,2017-2018,28.857,15.0,9.571,9.2,7.0,7.0,630.0,7.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.62,0.29,0.62,0.62,0.62,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,40.0,61.0,69.0,0.31,0.49,0.59,0.31,15.0,11.0,4.0,7.0,4.0,5.0,20.0,8.0,0.0,8.0,7.0,3.0,0.0,57.0,5.56,40.0,8.0,5.0,1.0,2.0,1.0,6.0,0.59,,,,,,,,,,,,,,,1128.0,35.0,15.0,8.0,9.0,46.0,12.0,7.0,959.0,5.0,28.0,453.0,589.0,76.9,6294.0,1637.0,242.0,276.0,87.7,140.0,175.0,80.0,26.0,62.0,41.9,694.0,3.0,61.0,302.0,341.0,22.0,694.0,31.0,14.0,45.2,17.0,373.0,2287.0,1254.0,40.0,40.0,4.0,24.0,22.0,529.0,69.0,15.0,5.0,33.3,1.46,0.49,0.33,1.0,21.6,0.0,0.0
Austria,2017-2018,25.773,24.81,15.262,15.63,6.0,5.0,458.0,5.067,1.0,1.0,1.0,0.0,0.0,2.667,0.0,0.32,0.32,0.64,0.32,0.64,11.0,4.0,15.0,11.0,0.2,0.2,8.0,0.333,53.0,108.0,208.0,0.43,0.172,0.58,0.43,68.0,46.0,30.0,36.0,6.4,35.0,23.0,28.0,11.286,25.0,39.0,72.857,1.0,65.4,3.084,54.0,6.8,6.0,5.8,4.0,2.0,9.0,0.404,4.0,4.0,8.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,100.0,1682.0,82.0,75.0,2.5,10.0,83.0,15.0,25.0,1493.25,4.667,27.0,882.0,1073.0,82.2,16252.0,4754.0,360.0,423.0,100.0,398.0,445.0,100.0,97.0,152.286,65.1,1258.0,86.286,429.429,850.0,432.0,132.0,1258.0,97.0,24.0,74.6,72.0,576.0,3306.0,1634.0,53.0,37.0,29.0,67.0,59.0,762.0,208.0,55.0,25.0,45.5,2.262,0.97,0.2,0.44,24.4,0.2,0.2
Belarus,2017-2018,28.0,32.0,30.0,27.8,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,3.0,2.0,2.0,3.0,0.0,,,,0.18,0.18,0.36,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,16.0,32.7,1.76,0.58,0.06,0.19,,2.0,2.0
Belgium,2017-2018,27.429,29.202,20.793,20.504,5.0,4.4,408.0,4.54,1.75,1.0,1.75,0.25,0.25,1.2,0.0,0.728,0.338,0.85,0.728,0.85,9.75,5.0,14.75,8.75,1.75,2.0,3.8,0.0,99.75,181.75,196.75,0.428,0.242,0.67,0.397,40.0,24.75,18.0,18.0,6.5,13.8,33.0,25.25,5.8,22.75,26.5,77.4,1.0,95.75,4.148,62.5,11.5,13.5,8.5,5.75,1.25,12.0,0.552,,,,,,,,,,,,,,,1536.0,143.0,49.0,16.0,20.0,118.0,135.0,61.0,1310.5,8.5,28.0,1170.8,1420.75,87.62,22563.6,7923.0,572.25,643.5,93.38,589.6,648.0,89.48,141.4,204.0,71.48,1623.5,93.4,558.0,928.75,549.25,110.5,1623.5,96.25,63.25,77.54,33.0,998.75,5594.25,3214.75,99.75,66.75,38.25,53.75,43.25,1212.25,196.75,70.25,25.5,46.8,3.26,1.15,0.142,0.338,20.75,1.75,2.0
Bosnia,2017-2018,28.857,30.714,27.429,27.714,9.0,9.0,725.0,8.1,5.0,1.0,4.0,1.0,1.0,3.0,1.0,0.62,0.13,0.74,0.5,0.62,16.0,4.0,19.0,16.0,0.0,0.0,6.0,0.0,68.0,105.0,289.0,0.48,0.17,0.57,0.48,49.0,37.0,28.0,13.0,8.0,20.0,19.0,15.0,3.0,12.0,26.0,56.0,0.0,122.0,3.64,89.0,3.0,17.0,9.0,6.0,1.0,8.0,0.25,,,,,,,,,,,,,,,774.0,29.0,1.0,2.0,11.0,35.0,2.0,0.0,568.0,1.0,28.0,1203.0,1515.0,79.4,17835.0,5821.0,648.0,753.0,86.1,469.0,576.0,82.4,83.0,106.0,90.0,1726.0,56.0,403.0,766.0,653.0,213.0,1726.0,63.0,41.0,65.1,21.0,935.0,4189.0,2707.0,68.0,52.0,32.0,86.0,73.0,1108.0,289.0,152.0,56.0,50.0,4.53,1.67,0.11,0.33,14.5,0.0,0.0
Bulgaria,2017-2018,27.857,18.286,11.0,11.357,5.0,3.0,295.0,3.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.31,0.0,0.31,0.31,0.31,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,13.0,25.0,75.0,0.24,0.08,0.32,0.16,7.0,5.0,1.0,5.0,2.0,0.0,5.0,17.0,1.0,16.0,2.0,11.0,0.0,23.0,1.83,19.0,1.0,2.0,2.0,2.0,1.0,2.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,363.0,63.9,3539.0,556.0,129.0,188.0,68.6,77.0,127.0,60.6,17.0,22.0,77.3,518.0,12.0,38.0,254.0,237.0,62.0,517.0,14.0,10.0,71.4,4.0,314.0,1400.0,434.0,13.0,11.0,8.0,54.0,31.0,432.0,75.0,33.0,14.0,42.4,2.63,1.12,0.06,0.14,25.9,1.0,1.0
Croatia,2017-2018,26.667,25.0,22.048,21.395,4.667,4.333,449.0,4.967,1.0,1.0,1.0,0.0,0.0,1.333,0.0,0.85,0.85,1.7,0.85,1.7,2.0,1.667,3.0,2.0,0.0,0.0,9.0,2.0,27.333,222.0,42.333,0.69,0.083,0.69,0.69,71.0,41.0,26.0,38.0,7.0,28.0,43.0,48.0,8.0,46.0,71.0,75.667,3.0,97.0,3.71,85.0,2.0,4.0,4.0,2.0,2.0,4.0,0.69,,,,,,,,,,,,,,,1522.0,102.0,39.0,4.0,12.0,44.0,99.0,2.0,1230.0,10.0,28.0,1469.0,1775.0,82.8,26413.0,8540.0,637.0,737.0,88.4,637.0,730.0,87.3,163.0,236.0,69.1,2099.0,69.333,445.333,1331.0,367.0,24.0,2099.0,43.0,29.0,67.4,14.0,1062.0,4426.0,2047.0,27.333,35.0,5.0,31.0,27.0,1431.0,42.333,33.0,6.0,50.0,2.08,1.04,0.33,0.67,21.5,0.0,0.0
Cyprus,2017-2018,22.0,19.0,12.0,13.5,9.0,8.0,705.0,7.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,,,,0.15,0.07,0.22,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,28.6,1.56,0.45,0.1,0.33,,0.0,0.0
