year,hname,aname,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves
2002,Faroe Islands,Scotland,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2002,Norway,Denmark,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Armenia,Ukraine,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Russia,Republic of Ireland,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,Cyprus,France,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Finland,Wales,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2002,Lithuania,Germany,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2002,Azerbaijan,Italy,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2002,Slovenia,Malta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Netherlands,Belarus,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
2002,Greece,Spain,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2002,Switzerland,Georgia,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Liechtenstein,North Macedonia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Moldova,Czech Republic,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0
2002,Iceland,Scotland,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2002,Sweden,Hungary,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2002,Bulgaria,Croatia,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2002,Belarus,Austria,0,2,0,0,0,0,0,0,2,4,1,0,0,0,0,0
2002,Finland,Azerbaijan,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
2002,Lithuania,Faroe Islands,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
2002,Ukraine,Greece,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Malta,Israel,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2002,North Macedonia,Turkey,1,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0
2002,Poland,Latvia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,Romania,Norway,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2002,Slovakia,England,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2002,Albania,Switzerland,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2002,Andorra,Belgium,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2002,France,Slovenia,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,Italy,Serbia & Montenegro,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2002,Spain,Northern Ireland,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Czech Republic,Belarus,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2002,Bulgaria,Andorra,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0
2002,Russia,Albania,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2002,Greece,Armenia,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2002,Serbia & Montenegro,Finland,2,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0
2002,Turkey,Liechtenstein,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Luxembourg,Romania,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Norway,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2002,Iceland,Lithuania,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
2002,Austria,Netherlands,0,3,0,0,0,0,0,0,2,2,1,0,0,0,0,0
2002,Estonia,Belgium,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2002,Germany,Faroe Islands,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Hungary,San Marino,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2002,Republic of Ireland,Switzerland,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Malta,France,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,Wales,Italy,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2002,England,North Macedonia,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0
2002,Northern Ireland,Ukraine,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2002,Azerbaijan,Wales,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2002,Cyprus,Malta,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2002,San Marino,Latvia,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2003,Serbia & Montenegro,Azerbaijan,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2003,Armenia,Northern Ireland,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2003,Georgia,Republic of Ireland,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2003,Scotland,Iceland,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2003,Wales,Azerbaijan,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Albania,Russia,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,Cyprus,Israel,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2003,Romania,Denmark,2,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0
2003,Belarus,Moldova,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
