Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2016,Albania ,Elseid Hysaj,"DF,MF",22,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33
2016,Albania ,Ledian Memushaj,MF,30,3,3,188,2.1,0,0,0,0,0,0,2,1,0,0,0,0,0
2016,Albania ,Burim Kukeli,"MF,DF",33,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Mërgim Mavraj,DF,30,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Freddie Veseli,DF,24,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Thomas Strakosha,GK,21,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Odise Roshi,FW,25,3,2,159,1.8,1,2,3,1,0,0,0,0,0.57,1.13,1.7,0.57,1.7
2016,Albania ,Ermir Lenjani,"MF,DF",27,2,2,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Naser Aliji,DF,23,3,1,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Migjen Basha,MF,30,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Armando Sadiku,FW,25,2,1,111,1.2,2,1,3,2,0,0,0,0,1.62,0.81,2.43,1.62,2.43
2016,Albania ,Eros Grezda,FW,21,2,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0,0.82,0.82,0.82
2016,Albania ,Bekim Balaj,FW,26,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1
2016,Albania ,Etrit Berisha,GK,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Berat Djimsiti,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Taulant Xhaka,MF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Sabien Lilaj,MF,27,1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Azdren Llullaku,MF,28,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Amir Abrashi,MF,26,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Jahmir Hyka,MF,28,1,1,70,0.8,0,1,1,0,0,0,0,0,0,1.29,1.29,0,1.29
2016,Albania ,Sokol Cikalleshi,FW,26,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Albi Alla,DF,23,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Ergys Kaçe,MF,23,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Arlind Ajeti,DF,23,2,0,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Albania ,Liridon Latifi,"FW,MF",22,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Kamer Qaka,MF,21,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Alban Hoxha,GK,29,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Astrit Ajdarevi?,MF,26,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Andi Lila,"DF,MF",30,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albania ,Ansi Agolli,"DF,MF",34,0,0,,,,,,,,,,,,,,,
