Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23,36,36,3194,35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,100,
2017-2018,EPL,Manchester City,Claudio Bravo,cl CHI,GK,34,3,2,226,2.5,1,0.4,5,4,80,2,0,0,2,100,0,0,0,,
2017-2018,EPL,Manchester Utd,David de Gea,es ESP,GK,26,37,37,3330,37,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,
2017-2018,EPL,Manchester Utd,Sergio Romero,ar ARG,GK,30,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,,
2017-2018,EPL,Tottenham,Hugo Lloris,fr FRA,GK,30,36,36,3240,36,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,0,
2017-2018,EPL,Tottenham,Paulo Gazzaniga,ar ARG,GK,25,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,,
2017-2018,EPL,Tottenham,Michel Vorm,nl NED,GK,33,1,1,90,1,1,1,4,4,75,0,1,0,0,0,0,0,0,,
2017-2018,EPL,Liverpool,Loris Karius,de GER,GK,24,19,19,1710,19,14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,33.3,
2017-2018,EPL,Liverpool,Simon Mignolet,be BEL,GK,29,19,19,1710,19,24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,33.3,
2017-2018,EPL,Chelsea,Thibaut Courtois,be BEL,GK,25,35,35,3150,35,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,
2017-2018,EPL,Chelsea,Willy Caballero,ar ARG,GK,35,3,3,270,3,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,,
2017-2018,EPL,Arsenal,Petr Čech,cz CZE,GK,35,34,34,3039,33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,16.7,
2017-2018,EPL,Arsenal,David Ospina,co COL,GK,28,5,4,381,4.2,3,0.71,12,9,75,3,0,1,2,50,0,0,0,,
2017-2018,EPL,Burnley,Nick Pope,eng ENG,GK,25,35,34,3115,34.6,35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,25,
2017-2018,EPL,Burnley,Tom Heaton,eng ENG,GK,31,4,4,305,3.4,4,1.18,12,8,66.7,2,1,1,0,0,0,0,0,,
2017-2018,EPL,Everton,Jordan Pickford,eng ENG,GK,23,38,38,3420,38,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,25,
2017-2018,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,30,33,33,2965,32.9,47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,66.7,
2017-2018,EPL,Leicester City,Ben Hamer,eng ENG,GK,29,4,3,275,3.1,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,
2017-2018,EPL,Leicester City,Eldin Jakupović,ch SUI,GK,32,2,2,180,2,6,3,13,8,53.8,1,0,1,0,0,0,0,0,,
2017-2018,EPL,Newcastle Utd,Rob Elliot,ie IRL,GK,31,16,16,1440,16,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,50,
2017-2018,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,28,12,12,1080,12,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,100,
2017-2018,EPL,Newcastle Utd,Karl Darlow,eng ENG,GK,26,10,10,900,10,15,1.5,47,34,74.5,1,5,4,2,20,3,3,0,0,
2017-2018,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,30,27,27,2430,27,41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,
2017-2018,EPL,Crystal Palace,Julián Speroni,ar ARG,GK,38,11,11,990,11,14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,
2017-2018,EPL,Bournemouth,Asmir Begović,ba BIH,GK,30,38,38,3420,38,61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,33.3,
2017-2018,EPL,West Ham,Adrián,es ESP,GK,30,19,19,1710,19,29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,
