Season,League,Team,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,SP_Cmp,SP_Att,SP_Cmp%,MP_Cmp,MP_Att,MP_Cmp%,LP_Cmp,LP_Att,LP_Cmp%
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23,35.5,955,1098,87,23400,15983,200,201,99.5,530,536,98.9,224,357,62.7
2017-2018,EPL,Manchester City,Kevin De Bruyne,be BEL,MF,26,34.1,2351,3008,78.2,39772,11181,1154,1322,87.3,885,1090,81.2,221,376,58.8
2017-2018,EPL,Manchester City,Nicolás Otamendi,ar ARG,DF,29,33,2829,3082,91.8,51762,16561,1081,1132,95.5,1459,1561,93.5,238,312,76.3
2017-2018,EPL,Manchester City,Fernandinho,br BRA,MF,32,32,2686,2999,89.6,42640,13288,1335,1407,94.9,1083,1190,91,167,235,71.1
2017-2018,EPL,Manchester City,Kyle Walker,eng ENG,DF,27,30.9,2307,2682,86,37708,9574,1149,1250,91.9,932,1046,89.1,167,273,61.2
2017-2018,EPL,Manchester City,Raheem Sterling,eng ENG,FW,22,28.7,998,1221,81.7,11836,2411,644,716,89.9,243,303,80.2,17,34,50
2017-2018,EPL,Manchester City,David Silva,es ESP,MF,31,27,2183,2520,86.6,31050,6817,1258,1356,92.8,751,858,87.5,80,138,58
2017-2018,EPL,Manchester City,Leroy Sané,de GER,FW,21,26.9,957,1208,79.2,12637,2561,588,681,86.3,256,317,80.8,36,79,45.6
2017-2018,EPL,Manchester City,Sergio Agüero,ar ARG,FW,29,21.8,529,650,81.4,6018,1087,360,405,88.9,107,140,76.4,11,13,84.6
2017-2018,EPL,Manchester City,Fabian Delph,eng ENG,DF,27,19.3,1662,1801,92.3,24788,6068,977,1012,96.5,567,609,93.1,79,112,70.5
2017-2018,EPL,Manchester City,Gabriel Jesus,br BRA,FW,20,18.5,474,596,79.5,5662,806,302,364,83,100,126,79.4,12,16,75
2017-2018,EPL,Manchester City,Vincent Kompany,be BEL,DF,31,15.5,1327,1434,92.5,24734,8914,506,534,94.8,671,709,94.6,129,164,78.7
2017-2018,EPL,Manchester City,John Stones,eng ENG,DF,23,14.5,1197,1250,95.8,21826,8273,479,496,96.6,578,590,98,114,135,84.4
2017-2018,EPL,Manchester City,Bernardo Silva,pt POR,"FW,MF",22,17,836,1000,83.6,12111,2087,487,531,91.7,276,328,84.1,33,64,51.6
2017-2018,EPL,Manchester City,İlkay Gündoğan,de GER,MF,26,16.9,1291,1414,91.3,18213,4535,754,803,93.9,402,428,93.9,61,82,74.4
2017-2018,EPL,Manchester City,Danilo,br BRA,DF,26,15,1106,1255,88.1,17501,4137,581,613,94.8,437,484,90.3,62,102,60.8
2017-2018,EPL,Manchester City,Aymeric Laporte,es ESP,DF,23,9,762,826,92.3,13329,4972,337,354,95.2,346,366,94.5,61,81,75.3
2017-2018,EPL,Manchester City,Oleksandr Zinchenko,ua UKR,DF,20,5.9,664,729,91.1,9453,2333,391,414,94.4,218,235,92.8,31,46,67.4
2017-2018,EPL,Manchester City,Eliaquim Mangala,fr FRA,DF,26,5.4,316,346,91.3,5253,1824,138,143,96.5,166,173,96,9,21,42.9
2017-2018,EPL,Manchester City,Benjamin Mendy,fr FRA,"DF,FW",23,4,209,272,76.8,3437,932,110,126,87.3,76,100,76,18,27,66.7
2017-2018,EPL,Manchester City,Claudio Bravo,cl CHI,GK,34,2.5,64,71,90.1,1601,1126,4,4,100,43,44,97.7,17,23,73.9
2017-2018,EPL,Manchester City,Yaya Touré,ci CIV,MF,34,2.6,390,417,93.5,5702,1707,240,252,95.2,116,123,94.3,23,29,79.3
2017-2018,EPL,Manchester City,Brahim Díaz,es ESP,"FW,DF",17,0.6,25,29,86.2,326,45,16,17,94.1,8,10,80,0,0,
2017-2018,EPL,Manchester City,Phil Foden,eng ENG,"MF,FW",17,0.5,41,48,85.4,461,52,29,30,96.7,8,11,72.7,0,1,0
2017-2018,EPL,Manchester City,Lukas Nmecha,de GER,FW,18,0.2,5,5,100,50,3,2,2,100,1,1,100,0,0,
2017-2018,EPL,Manchester Utd,David de Gea,es ESP,GK,26,37,686,1092,62.8,23707,20013,74,75,98.7,287,289,99.3,321,721,44.5
2017-2018,EPL,Manchester Utd,Nemanja Matić,rs SRB,MF,28,34.6,2299,2647,86.9,40993,11705,974,1068,91.2,959,1042,92,269,356,75.6
2017-2018,EPL,Manchester Utd,Romelu Lukaku,be BEL,FW,24,31.9,502,763,65.8,6310,1511,282,377,74.8,118,207,57,27,44,61.4
2017-2018,EPL,Manchester Utd,Antonio Valencia,ec ECU,DF,31,30.4,1624,1962,82.8,22647,8135,961,1033,93,462,555,83.2,96,200,48
2017-2018,EPL,Manchester Utd,Chris Smalling,eng ENG,DF,27,28.2,998,1140,87.5,19226,5423,280,309,90.6,598,647,92.4,94,135,69.6
2017-2018,EPL,Manchester Utd,Ashley Young,eng ENG,DF,32,27.1,1285,1683,76.4,20718,7834,703,772,91.1,379,494,76.7,145,293,49.5
2017-2018,EPL,Manchester Utd,Paul Pogba,fr FRA,MF,24,23.9,1476,1763,83.7,23981,7902,722,788,91.6,475,561,84.7,166,246,67.5
2017-2018,EPL,Manchester Utd,Phil Jones,eng ENG,DF,25,21.9,991,1090,90.9,18639,5304,313,336,93.2,546,576,94.8,99,135,73.3
2017-2018,EPL,Manchester Utd,Juan Mata,es ESP,FW,29,21.4,1098,1345,81.6,16341,3673,585,645,90.7,311,392,79.3,98,160,61.3
