Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,Amir Abrashi,MF,al Albania,25,1990,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Aritz Aduriz,FW,es Spain,34,1981,3,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ansi Agolli,DF,al Albania,33,1982,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Arlind Ajeti,DF,al Albania,22,1993,2,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Igor Akinfeev,GK,ru Russia,29,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,David Alaba,MF,at Austria,23,1992,3,3,244,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37
2016,Jordi Alba,DF,es Spain,26,1989,4,4,350,3.9,0,1,1,0,0,0,0,0,0,0.26,0.26,0,0.26
2016,Thiago Alcántara,MF,es Spain,24,1991,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Toby Alderweireld,DF,be Belgium,26,1989,5,5,450,5,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2
2016,Denis Alibec,FW,ro Romania,25,1991,2,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Joe Allen,MF,wls Wales,25,1990,6,6,523,5.8,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17
2016,Dele Alli,MF,eng England,19,1996,4,3,300,3.3,0,1,1,0,0,0,0,0,0,0.3,0.3,0,0.3
2016,Robert Almer,GK,at Austria,31,1984,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Bruno Alves,DF,pt Portugal,34,1981,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Florin Andone,FW,ro Romania,22,1993,3,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Kári Árnason,DF,is Iceland,33,1982,5,5,405,4.5,0,2,2,0,0,0,1,0,0,0.44,0.44,0,0.44
2016,Marko Arnautovi?,MF,at Austria,26,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,César Azpilicueta,"DF,MF",es Spain,26,1989,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Volkan Babacan,GK,tr Türkiye,27,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Milan Badelj,MF,hr Croatia,26,1989,4,4,390,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23
